"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
13051619,,,,,,,,,"Standard Club P&I",,"18-Feb-2019",,,"31-Jan-2024",17.5,,9272.11,125,"N",,,"Sinokor Ship Mngt","South Korea","Sinokor Merchant","South Korea",,,,,,,,"China P.R.","South Korea",600,,"Sinokor Merchant","Mawei SB (Mawei)","Fujian Shipbuilding"
13055325,,,,,,,,,"West of England P&I",,"13-Mar-2021",,,"17-Jul-2025",95.1,,13433.19,198.74,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"China P.R.","Switzerland",845,,"MSC","Jiangnan Shipyard","Jiangnan Shipyard"
13055459,,,,,,,,,"West of England P&I",,"27-Oct-2020",,,"13-Nov-2025",95.1,,13433.19,198.74,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"China P.R.","Switzerland",845,,"MSC","Jiangnan Shipyard","Jiangnan Shipyard"
13057037,,,,,,,,,"Standard Club P&I",,"21-Aug-2018",,,"19-Aug-2023",15.5,,10338.40,136.8,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,15.5,,,,,"Turkey","Switzerland",706,,"MSC","Celik Tekne","Celik Tekne"
13059031,,,,,,,19251,19366,"UK P&I Club",11.57,"09-Dec-2016",,,"30-Apr-2022",47.6,,16824.79,172.72,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Germany","Switzerland",1663,,"MSC","Flender Werft","Flender Werft"
13059165,,,,,,,19105,19577,"Skuld",,"25-Feb-2021",,,"10-Feb-2026",50.7,,16780.76,172.7,"Y",,,"Thor Dahl Mgmt.","Norway","Bengal Tiger Line","Germany",,,,,,,,"Germany","Singapore",1661,,"Thor Dahl Shipping","Flender Werft","Flender Werft"
13061713,,,,"Y",,,20791,23602,"UK P&I Club",50,"26-Jan-2019",,,"26-Jan-2024",70,,17941.41,180.2,"Y",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Poland","Switzerland",1392,,"MSC","Stocznia Gdynia","Stocznia Gdynia"
13062923,,,,,,,,,"The Swedish Club P&I",,"14-Nov-2021",,,"13-Nov-2026",66,,18834.65,184,"Y",,,"Xiamen Shengyunxin","China P.R.","CMA CGM","France",,,,,,,,"Japan","France",1500,,"Xiamen Shengyunxin","Minaminippon (Ozai)","Imabari Shipbuilding"
13063133,,,,,,"Indonesia",,,,,"24-Jun-2019",,,"27-Jun-2024",66,,18843.70,184,"Y",,,"Temas Line","Indonesia","Temas Line","Indonesia",,,,,,,,"Japan","Indonesia",1500,,"Temas Line","Minaminippon (Ozai)","Imabari Shipbuilding"
13063267,,,,,,,,,"Standard Club P&I",,"11-Mar-2019",,,"11-Mar-2024",45,,14134.79,172.9,"N",,,"Anglo-Eastern HK","Hong Kong","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1210,,"Anglo-Eastern Group","Imabari SB Marugame","Imabari Shipbuilding"
13063391,,,,,,,,,"Standard Club P&I",,"09-Apr-2019",,,"28-Jun-2024",45,,14134.79,172,"N",,,"Asia Pacific Mngt","Singapore","Yang Ming Marine","Taiwan",,,,,,,,"Japan","Taiwan",1210,,"Asia Pacific Mngt","Imabari SB Marugame","Imabari Shipbuilding"
13063425,,,,,,,,,"The Swedish Club P&I",,"07-Jun-2021",,,"06-Jun-2026",58,,18453.31,184,"Y",,,"Xin Ou Shipping","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"Japan","China P.R.",1500,,"Xin Ou Shipping","Imabari SB Marugame","Imabari Shipbuilding"
13064501,,,,,,,,,"Shipowners P&I",,"22-Dec-2020",,,"21-Dec-2025",28,,9956.42,137.9,"Y",,,"Nautica Shipmanageme","Greece","MTT Shipping","Malaysia",,,,,,,,"Turkey","Malaysia",717,,"Nautica Shipmanageme","Sedef Gemi (Tuzla)","Sedef Gemi End."
13065003,,,"Y",,,,,80614,"UK P&I Club",,"29-Jul-2016",,,"01-Apr-2022",240,,44613.92,331.5,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Denmark","Switzerland",,,"MSC","Odense Lindo","Odense Lindo"
13065137,,,"Y",,,,,80151,"UK P&I Club",,"09-Nov-2016",,,"01-May-2022",240,,44948.33,331.52,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Denmark","Switzerland",,,"MSC","Odense Lindo","Odense Lindo"
13065261,,,"Y",,,,,80151,"Standard Club P&I",,"06-Nov-2017",,,"24-Oct-2022",240,,44613.92,331.52,"N",,,"A.P. Moller","Denmark","A.P. Moller","Denmark",,,,,,,,"Denmark","Denmark",,,"A.P. Moller","Odense Lindo","Odense Lindo"
13065687,,,,,,,,,"Standard Club P&I",,"31-Dec-2020",,,"21-Dec-2025",,,7472.78,110,"Y",,,"Korea Shipmanagers","South Korea","Sinokor Merchant","South Korea",,,,,,,,"Japan","South Korea",394,,"Korea Shipmanagers","Murakami Hide","Murakami Hide"
