"Listing"

"WFR Listing"
"Created 15 February 2022 21:19"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
16317796,9807059,"Pacific Prosperity",477184100,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Sep-2018","28-Dec-2015","11-Dec-2015",,,,398437,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","South East Asia (23.0 %)",20,362,,,"LNG Ready","China P.R.","CMHI (Jiangsu)"
16317804,9807061,"Pacific Auspice",477244800,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Jan-2019","28-Dec-2015","11-Dec-2015",,,,397933,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","East Coast South America (23.5 %)",20,362,,,"LNG Ready","China P.R.","CMHI (Jiangsu)"
16317691,9806964,"Yuan Fu Hai",563089300,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Aug-2019","23-Oct-2018","31-Mar-2016",,,,398407,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",,7,212628,"Ore Carrier","East Coast Africa (24.8 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317675,9806940,"Yuan Hua Hai",563093200,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Oct-2019","29-Mar-2019","31-Mar-2016",,,,398441,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast Africa (21.0 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317738,9807009,"Pacific Excellence",477286900,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Mar-2019","24-Dec-2015","15-Dec-2015",,,,398351,65,23,,85,"$m",,,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32902,"Fitted","Eco – Electronic Engine Modern","HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,,"Ore Carrier","East Coast Africa (22.3 %)",20,362,,,"LNG Ready","China P.R.","Shanghai Waigaoqiao"
16317741,9807011,"Pacific Longevity",477286700,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Feb-2019","17-Dec-2015","08-Apr-2016",,,,399149,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","East Coast Africa (20.9 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16323139,9815214,"Ore Shanghai",477232900,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Nov-2018","24-Dec-2015","10-Jun-2015",,,,399294,65,23," 2 x Crane, Provision SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Coast Africa (24.3 %)",20,362,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16323142,9815226,"Ore Ningbo",477269900,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Mar-2019","24-Dec-2015","10-Jun-2015",,,,399402,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 32,970mkW total at 72rpm",44826,"Fitted","Eco – Electronic Engine Modern","HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Coast Africa (22.7 %)",20,362,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16317754,9807023,"Ore Tianjin",477153600,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Mar-2018","23-Dec-2015","23-Mar-2016",,,,399213,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x HVEC -High Voltage External Connection",14.5,7,212628,"Ore Carrier","East Coast Africa (22.1 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16317767,9807035,"Ore Dalian",477202100,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Sep-2018","23-Dec-2015","23-Mar-2016",,,,399363,65,23,,688.77,"RMBm","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x HVEC -High Voltage External Connection",14.5,7,212628,"Ore Carrier","East Coast Africa (21.7 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16317783,9807047,"Ore Xiamen",477237500,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Dec-2018","23-Dec-2015","23-Mar-2016",,,,399251,65,23," 2 x Crane, Provision (Port/Stbd.) SWL 12.50 tons at 22m., 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x HVEC -High Voltage External Connection",14.5,7,212628,"Ore Carrier","East Coast South America (23.3 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16323218,9807750,"Ore Zhanjiang",477312500,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Apr-2019","23-Dec-2015","23-Mar-2016",,,,399277,65,23," 2 x Crane, Provision (Port/Stbd.) SWL 12.50 tons at 220m., 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x HVEC -High Voltage External Connection",,7,212628,"Ore Carrier","South East Asia (25.2 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16323155,9815238,"Ore Hong Kong",477162700,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Apr-2018","25-Dec-2015","10-Jun-2015",,,,399214,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Coast South America (21.5 %)",20,361.9,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16323168,9807695,"Ore Shenzhen",477168700,,"Hong Kong","Vale","VLOC Holding","ICBC","01-May-2018","24-Dec-2015","10-Jun-2015",,,,398997,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Coast South America (21.8 %)",20,362,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16323171,9807700,"Ore Guangzhou",477184800,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Jul-2018","24-Dec-2015","10-Jun-2015",,,,399095,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Asia (23.9 %)",20,362,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16323126,9815202,"Ore Tangshan",477191300,,"Hong Kong","Vale","VLOC Holding","ICBC","01-Aug-2018","24-Dec-2015","10-Jun-2015",,,,399438,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212627,"Ore Carrier","East Coast South America (22.8 %)",20,362,,,"LNG Ready","China P.R.","Yangzi Xinfu SB"
16317646,9806914,"Yuan Jin Hai",563072400,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Jan-2019","13-Mar-2018","31-Mar-2016",,,,399000,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Coast Africa (22.1 %)",20,361.9,,,"LNG Ready","China P.R.","COSCO HI (Yangzhou)"
16317659,9806926,"Yuan Shen Hai",563083300,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-May-2019","26-Jun-2018","31-Mar-2016",,,,398383,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2020 installation year",14.5,7,212628,"Ore Carrier","East Asia (22.9 %)",20,361.89,,,"LNG Ready","China P.R.","COSCO HI (Yangzhou)"
16317662,9806938,"Yuan Sui Hai",563097400,,"Singapore","Vale","China Ore Shipping","China COSCO Shipping","01-Nov-2019","25-Feb-2019","31-Mar-2016",,,,398199,65,23," 2 x Crane, Provision SWL 12.50 tons, 1 x Crane, Engine Room SWL 12.50 tons",85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",30250,"Fitted","Eco – Electronic Engine Modern","1 x BWTS - Ballast Water Treatment System - Sunrui, 1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Saacke EGCS-HM - 2021 installation year",14.5,7,212628,"Ore Carrier","East Coast South America (24.6 %)",20,362,,,"LNG Ready","China P.R.","COSCO HI (Yangzhou)"
16323205,9807748,"Pacific Career",477232700,,"Hong Kong","Vale","China Merchants Shpg","China Merchants","01-Nov-2018","17-Dec-2015","08-Apr-2016",,,,399172,65,23,,85,"$m","IFO 380",,"This equipment is designed to be LNG ready. 

1 x Diesel - MAN B. & W. 7G80ME-C9.5 - 2-stroke 7-cyl. 800mm x3720mm bore/stroke 24,200mkW total at 58rpm",32903,"Fitted","Eco – Electronic Engine Modern","1 x HVEC -High Voltage External Connection, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr",14.5,7,212628,"Ore Carrier","East Coast Africa (27.0 %)",20,361.9,,,"LNG Ready","China P.R.","Beihai Shipyard"
16149511,9532599,"Yuan Zhuo Hai",563950000,"Ore Majishan","Singapore","China Ore Shipping","China Ore Shipping","China COSCO Shipping","01-Jul-2014","03-May-2012","03-Aug-2008",,,,399974,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (24.6 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16149524,9532604,"Pacific Merchants",477178700,"Ore Tianjin","Hong Kong","Hong Kong Ming Wah","China VLOC","China Merchants","01-Oct-2014","16-Jul-2012","31-Jul-2008",,,,400101,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 1 x BWTS - Ballast Water Treatment System - 2019 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (29.3 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16149537,9532616,"Pacific Winner",477178800,"Ore Rizhao","Hong Kong","Hong Kong Ming Wah","China VLOC","China Merchants","01-Dec-2014","17-Sep-2012","31-Jul-2008",,,,400065,64.99,23.02,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (25.5 %)",20,359.88,,,,"China P.R.","Jiangsu Rongsheng"
16149540,9532628,"Pacific Mariner",477178600,"Ore Ningbo","Hong Kong","Hong Kong Ming Wah","China VLOC","China Merchants","01-Jan-2015","17-Sep-2012","03-Aug-2008",,,,400032,65.00,23.02,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","South East Asia (22.2 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
