"Listing"

"WFR Listing"
"Created 16 February 2022 05:01"


"CVN","Age Scrapped","Fleet Type","Bale Capacity (cu m)","Sister Vessel Code","Owner Size","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","Log fitted (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Ballast (knots)","Eco-Speed - Laden (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region"
16243644,,"Bulkers",74157,78394,"Extra Large (100+)",,,,,"Hong Kong",,,"The Swedish Club P&I",,"30-May-2019",,,"29-May-2024",,,17034.38,197,"Y","N",,,"B. Schulte (China)","China P.R.","Oldendorff Carriers","Germany",,,,,,,"Y","China P.R.","Germany"
16243657,,"Bulkers",74157,78394,"Extra Large (100+)",,,,,"Hong Kong",,,"The Swedish Club P&I",,"26-Aug-2019",,,"22-Sep-2024",27.5,,17034.38,197,"Y","N",,,"B. Schulte (China)","China P.R.","Oldendorff Carriers","Germany",12,11,27.5,27,16,17,"Y","China P.R.","Germany"
16319745,,"Bulkers",74157,79851,"Very Small (1-5) ",,,,,,,,"West of England P&I",,"06-Jul-2017",,,"05-Jul-2022",,,17018.16,197,"Y","N",,,"Josco Yuansheng","China P.R.","Taicang Container","China P.R.",,,,,,,,"China P.R.","China P.R."
16319758,,"Bulkers",74157,79851,"Very Small (1-5) ",,,,,,,,"West of England P&I",,"06-Jul-2017",,,"05-Jul-2022",,,17018.16,197,"Y","N",,,"Josco Yuansheng","China P.R.","Taicang Container","China P.R.",,,,,,,,"China P.R.","China P.R."
16325412,,"Bulkers",74157,79984,"Medium (11-20)",,,,,,,,"Britannia P&I",,"11-May-2017",,,"10-May-2022",,,17032.28,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore","Mitsubishi Corp","Japan",,,,,,,,"China P.R.","Singapore"
16325425,,"Bulkers",74157,79984,"Medium (11-20)",,,,,,,,"Britannia P&I",,"23-Jun-2017",,,"22-Jun-2022",,,17032.28,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore","Mitsubishi Corp","Japan",,,,,,,,"China P.R.","Singapore"
16294796,,"Bulkers",74157,,"Large (21-50)",,,,,"Tokyo",,,"North of England P&I",,"20-Nov-2020",3,"1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","10-Dec-2025",,,17036.18,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore",,,,,,,,,,"China P.R."
16303186,,"Bulkers",,79457,"Medium (11-20)",,,,,,,,"Skuld",,"13-Jan-2022",,,"27-Feb-2027",,,19715.50,226,"N",,,,"Fleet Management","Hong Kong","Rui Gang Lian Group","China P.R.",,,,,,,,"China P.R.","Singapore"
16307168,,"Bulkers",,79561,"Medium (11-20)",,"Y",,,,,,"Gard P&I",,"06-Jan-2017",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","05-Mar-2022",,,34054.92,295,"N",,,,"Kumiai Navigation","Singapore",,,,,,,,,,"China P.R."
16307171,,"Bulkers",,79561,"Medium (11-20)",,"Y",,,,,,"Gard P&I",,"26-May-2017",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","25-May-2022",,,34054.92,295.5,"N",,,,"Anglo-Eastern Singap","Singapore","Kumiai Senpaku","Japan",,,,,,,,"China P.R.","Singapore"
16278738,,"Bulkers",,78707,"Medium (11-20)",,,,,,,,"Britannia P&I",,"03-Nov-2019",3,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™","22-Nov-2024",,,17300.54,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore","Gearbulk","Norway",,,,,,,,"China P.R.","Norway"
16278741,,"Bulkers",,78707,"Medium (11-20)",,,,,,,,"Britannia P&I",,"26-Sep-2019",3,"1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","27-Nov-2024",,,17300.54,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore","Gearbulk","Norway",,,,,,,,"China P.R.","Norway"
16278754,,"Bulkers",,78707,"Medium (11-20)",,,,,,,,"North of England P&I",,"20-Jan-2020",3,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Bow Enhancement - Kawasaki SEA-Arrow™","15-Jan-2025",,,17300.54,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore","Gearbulk","Norway",,,,,,,,"China P.R.","Norway"
16278767,,"Bulkers",,78707,"Medium (11-20)",,,,,,,,"Japan P&I",,"17-Feb-2020",3,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™","29-Jan-2025",,,17300.54,197,"N","N",,,"Fleet Ship Mgmt.","Singapore","Gearbulk","Norway",,,,,,,,"China P.R.","Norway"
16279577,,"Bulkers",74157,93430,"Large (21-50)",,,,,,28675,32270,"Standard Club P&I",,"27-Jul-2021",,,"06-Jan-2026",29,,17036.48,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",13,13,29,26,22,24,"Y","China P.R.","Greece"
16279580,,"Bulkers",74157,93430,"Large (21-50)",,,,,,28675,32270,"UK P&I Club",,"14-Aug-2021",,,"06-Jan-2026",29,,17036.48,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",13,13,29,26,22,24,"Y","China P.R.","Greece"
16282922,,"Bulkers",,78653,"Extra Large (100+)",,"Y","Y",,"NASDAQ",,103344,"Britannia P&I",,"24-May-2020",,,"14-Jul-2025",,,34056.47,295.5,"N",,,,"Star Bulk Man","Cyprus","Star Bulk Carriers","Greece",,,,,,,,"China P.R.","Greece"
16285260,,"Bulkers",,79028,"Small (6-10) ",,"Y","Y",,,,103344,"Gard P&I",,"06-Jan-2022",,,"28-Feb-2027",,,34056.47,295,"N",,,,"Golden Flame Shpg.","Greece","J. Samonas","Greece",,,,,,,,"China P.R.","Greece"
16285273,,"Bulkers",,79028,"Small (6-10) ",,"Y","Y",,,,103324,"Gard P&I",,"06-Jan-2019",,,"06-Jan-2024",,,34052.61,295,"N",,,,"Golden Flame Shpg.","Greece",,,,,,,,,,"China P.R."
16266485,,"Bulkers",74157,93429,"Medium (11-20)",,,,,,,,"UK P&I Club",,"09-Mar-2020",,,"11-Jan-2025",29,,17038.58,197,"Y","N",,,"Equinox Maritime","Greece","Equinox Maritime","Greece",,,29,26,,,,"China P.R.","Greece"
16266498,,"Bulkers",74157,93429,"Medium (11-20)",,,,,,,,"UK P&I Club",,"27-Aug-2020",,,"10-Mar-2025",29,,17038.58,197,"Y","N",,,"Equinox Maritime","Greece","Equinox Maritime","Greece",,,29,26,,,,"China P.R.","Greece"
16266506,,"Bulkers",74157,93430,"Large (21-50)",,,,,,28675,32270,"Standard Club P&I",,"02-Dec-2020",,,"27-May-2025",29,,17036.48,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",13,13,29,26,22,24,"Y","China P.R.","Greece"
16266519,,"Bulkers",74157,93430,"Medium (11-20)",,,,,,28675,32270,"The Swedish Club P&I",,"16-Jan-2021",,,"29-Jun-2025",29,,17036.48,197,"Y","N",,,"Pacific Rim","Singapore","Pacific Rim","China P.R.",13,13,29,26,22,24,"Y","China P.R.","Singapore"
16266522,,"Bulkers",74157,93430,"Large (21-50)",,,,,,28675,32270,"Standard Club P&I",,"31-Mar-2021",,,"01-Sep-2025",29,,17036.48,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",12.5,12.5,29,26,21,22.5,"Y","China P.R.","Greece"
16267637,,"Bulkers",,93456,"Very Large (51-100)",,"Y",,,,,,"The Swedish Club P&I",,"16-May-2021",,,"25-Apr-2026",,,34055.31,295,"N",,,,"Qingdao Winning Intl","China P.R.","Winning Intl","China P.R.",,,,,,,,"China P.R.","Singapore"
16267640,,"Bulkers",,93456,"Very Large (51-100)",,"Y",,,,,,"The Swedish Club P&I",,"15-Jun-2021",,,"09-Aug-2026",,,34055.31,295,"N",,,,"Qingdao Winning Intl","China P.R.","Winning Intl","China P.R.",,,,,,,,"China P.R.","Singapore"
16277207,,"Bulkers",74157,,"Very Large (51-100)",,,,,"NASDAQ",28536,33132,"Gard P&I",,"17-Feb-2021",,,"16-Feb-2026",28.8,,16984.80,197,"Y","N",,,"Eagle Ship","United States","Eagle Bulk Shipping","United States",,,,,,,,"China P.R.","United States"
16277960,,"Bulkers",74157,,"Small (6-10) ",,,,,,,,"Skuld",,"13-May-2020",,,"21-Apr-2025",,,17025.97,196.99,"Y","N",,,"Ayships","Turkey","Susesea Holdings","Singapore",,,,,,,,"China P.R.","Singapore"
16277236,,"Bulkers",,78872,"Medium (11-20)",,"Y",,,,,,"Gard P&I",,"19-Dec-2021",,,"27-Sep-2026",,,34056.47,295,"N",,,,"Fleet Management","Hong Kong","Rui Gang Lian Group","China P.R.",,,,,,,,"China P.R.","Singapore"
16277249,,"Bulkers",,78872,"Medium (11-20)",,"Y",,,,,,"Gard P&I",,"26-Jan-2017",,,"02-Apr-2022",,,34056.47,295,"N",,,,"Anglo-Eastern HK","Hong Kong","Rui Gang Lian Group","China P.R.",,,,,,,,"China P.R.","Singapore"
16347551,,"Bulkers",,80452,"Extra Large (100+)",,,,,,,,"Gard P&I",,"31-Jan-2019",2,"1 x Rudder Bulb, 1 x Propeller Duct","30-Jan-2024",30,,17043.08,197,"Y","N",,,"Hartmann Dry Cargo","Germany",,,,,30,28,,,,"China P.R."
16347564,,"Bulkers",,80452,"Extra Large (100+)",,,"Y",,"Hong Kong",,,"Gard P&I",,"31-Jan-2019",2,"1 x Rudder Bulb, 1 x Propeller Duct","30-Jan-2024",30,,17043.08,197,"Y","N",,,,,"Oldendorff Carriers","Germany",,,30,28,,,,"China P.R.","Germany"
16347577,,"Bulkers",,80452,"Extra Large (100+)",,,,,,,,"Gard P&I",,"31-Jan-2019",2,"1 x Rudder Bulb, 1 x Propeller Duct","30-Jan-2024",25,,17043.08,197,"Y","N",,,"Hartmann Dry Cargo","Germany","Oldendorff Carriers","Germany",,,25,28,,,,"China P.R.","Germany"
16348574,,"Bulkers",,80475,"Large (21-50)",,,,,,,,"UK P&I Club",,"12-Mar-2019",,,"11-Mar-2024",,,17041.28,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",,,,,,,,"China P.R.","Greece"
16348587,,"Bulkers",,80475,"Large (21-50)",,,,,,28593,33085,"UK P&I Club",,"20-Aug-2020",,,"01-Apr-2025",,,17006.14,197,"Y","N",,,"Nomikos Transworld","Greece","Nomikos Transworld","Greece",,,,,,,,"China P.R.","Greece"
16351303,,"Bulkers",,80528,"Medium (11-20)",,,,,,,,"Gard P&I",,"30-Sep-2019",,,"29-Sep-2024",,,19716.32,226,"N",,,,"Efnav","Greece","Efnav","Greece",,,,,,,,"China P.R.","Greece"
16351316,,"Bulkers",,80528,"Medium (11-20)",,,,,,,,"Gard P&I",,"06-Jan-2020",,,"05-Jan-2025",,,19716.32,226,"N",,,,"Efnav","Greece","Efnav","Greece",,,,,,,,"China P.R.","Greece"
16354238,,"Bulkers",68260,,"Very Large (51-100)",,,,,,,,"Japan P&I",,"06-Feb-2018",3,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Bow Enhancement - Kawasaki SEA-Arrow™, 1 x Rudder Bulb - Kawasaki RBS-F™","05-Feb-2023",,,17304.40,197,"Y","N",,,"Fleet Ship Mgmt.","Singapore",,,,,,,,,,"China P.R."
16360189,,"Bulkers",,80878,"Very Large (51-100)",,,,,,,,"Standard Club P&I",,"23-Jul-2019",,,"22-Jul-2024",,,19725.07,226,"N",,,,"Santoku Shipping","Japan",,,,,,,,,,"China P.R."
16360192,,"Bulkers",,,"Large (21-50)",,,,,,,,"UK P&I Club",,"29-Oct-2019",2,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Rudder Bulb - Kawasaki RBS-F™","28-Oct-2024",,,17025.97,197,"Y","N",,,"Helikon Shpg. Ent.","United Kingdom","Helikon Shpg. Ent.","Greece",,,,,,,,"China P.R.","United Kingdom"
16361607,,"Bulkers",,80777,"Very Large (51-100)",,"Y",,,,,,"The Swedish Club P&I",,"25-Nov-2019",,,"24-Nov-2024",,,34055.31,295,"N",,,,"Qingdao Winning Intl","China P.R.","Winning Intl","China P.R.",,,,,,,,"China P.R.","Singapore"
16361610,,"Bulkers",,80777,"Very Large (51-100)",,"Y",,,,,,"West of England P&I",,"03-Jan-2020",,,"02-Jan-2025",,,34055.31,295,"N",,,,"Qingdao Winning Intl","China P.R.","Winning Intl","China P.R.",,,,,,,,"China P.R.","Singapore"
16364682,,"Bulkers",,80845,"Large (21-50)",,,,,,,,"North of England P&I",,"30-Oct-2020",,,"29-Oct-2025",,,17022.67,197,"Y",,,,"Jiangsu Ocean Shpg","China P.R.","Jiangsu Port Group","China P.R.",,,,,,,,"China P.R.","China P.R."
16364695,,"Bulkers",,80845,"Large (21-50)",,,,,,,,"North of England P&I",,"02-Dec-2020",,,"01-Dec-2025",,,17022.67,197,"Y",,,,"Jiangsu Ocean Shpg","China P.R.","Jiangsu Port Group","China P.R.",,,,,,,,"China P.R.","China P.R."
16365847,,"Bulkers",,80878,"Very Large (51-100)",,,,,,,,"Standard Club P&I",,"15-Apr-2020",,,"14-Apr-2025",,,19725.07,226,"N",,,,"Santoku Shipping","Japan",,,,,,,,,,"China P.R."
16367296,,"Bulkers",,,"Medium (11-20)",,"Y","N",,,,,"Gard P&I",,"01-Jun-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","31-May-2025",,,34106.37,295,"N",,,,"Fleet Ship Mgmt.","Singapore","Kumiai Senpaku","Japan",,,,,,,,"China P.R.","Singapore"
16370467,,"Bulkers",,80977,"Medium (11-20)",,,,,,,,"Britannia P&I",,"24-Jul-2019",2,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Rudder Bulb - Kawasaki RBS-F™","23-Jul-2024",30,,19752.66,226,"N",,,,"Navios Ship Mgmt","Greece","Navios Holdings","Greece",12.5,11.5,30,30,19.5,19.5,,"China P.R.","Monaco"
16370470,,"Bulkers",,80977,"Small (6-10) ",,,,,,,,"North of England P&I",,"28-Aug-2019",2,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Rudder Bulb - Kawasaki RBS-F™","27-Aug-2024",,,19752.66,226,"N",,,,"Navios Ship Mgmt","Greece","Sealink Navigation","Greece",,,,,,,,"China P.R.","Greece"
16370483,,"Bulkers",,,"Small (6-10) ",,,,,,,,"Standard Club P&I",,"17-Jan-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","16-Jan-2025",,,19752.66,226,"N",,,,"Navios Ship Mgmt","Greece","Navios Holdings","Greece",,,,,,,,"China P.R.","Greece"
16370917,,"Bulkers",,81078,"Large (21-50)",,,,,,,,"Japan P&I",,"17-Sep-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","19-Aug-2025",,,19716.32,226,"N",,,,"Misuga Kaiun Co Ltd","Japan","Misuga Kaiun Co Ltd","Japan",,,,,,,,"China P.R.","Japan"
16371219,,"Bulkers",,,"Very Large (51-100)",,,,,"Tokyo",,,"Gard P&I",,"02-Jul-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","01-Jul-2025",,,17025.97,197,"Y","N",,,"MMS Bulkship PH","Philippines",,,,,,,,,,"China P.R."
16372032,,"Bulkers",,,"Medium (11-20)",,,,,"Tokyo",,,"Gard P&I",,"15-May-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","14-May-2025",,,19752.66,226,"N",,,,"ITOCHU Corp","Japan","Navios Holdings","Greece",,,,,,,,"China P.R.","Greece"
16375020,,"Bulkers",,81078,"Large (21-50)",,,"N",,,,,"UK P&I Club",,"28-Sep-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","27-Sep-2025",,,19766.31,226,"N",,,,"Misuga Philippines","Philippines","Misuga Kaiun Co Ltd","Japan",,,,,,,,"China P.R.","Japan"
16376919,,"Bulkers",,,"Very Small (1-5) ",,,,,,28585,33120,"Standard Club P&I",,"11-Jun-2019",2,"1 x Propeller Duct - Kawasaki SDS-F™, 1 x Rudder Bulb - Kawasaki RBS-F™","11-Jun-2024",,,17003.14,197,"Y","N",,,"Misuga Kaiun HK Ltd","Hong Kong",,,,,,,,,,"China P.R."
16377208,,"Bulkers",69391,,"Very Small (1-5) ",,,"N",,,,,"Standard Club P&I",,"09-May-2019",,,"08-May-2024",,,17352.81,197,"Y","N",,,"NT Marine Co.Ltd","Japan","NT Marine Co.Ltd","Japan",,,,,,,,"China P.R.","Japan"
16377987,,"Bulkers",,81147,"Very Large (51-100)",,,,,,,,"Gard P&I",,"25-Sep-2019",,,"24-Sep-2024",,,17036.18,197,"Y","N",,,"Santoku Shipping","Japan",,,,,,,,,,"China P.R."
16377990,,"Bulkers",,81147,"Very Large (51-100)",,,,,,,,"Britannia P&I",,"27-Sep-2019",,,"26-Sep-2024",,,17036.18,197,"Y","N",,,,,,,,,,,,,,"China P.R."
16378005,,"Bulkers",,,"Very Small (1-5) ",,,,,,28585,33080,"Britannia P&I",,"21-Apr-2020",2,"1 x Rudder Bulb - Kawasaki RBS-F™, 1 x Propeller Duct - Kawasaki SDS-F™","10-Mar-2025",,,17003.14,197,"Y","N",,,"Dojima Marine Co Ltd","Japan","Iyo Nassen","Japan",,,,,,,,"China P.R.","Japan"
16385487,,"Bulkers",,80528,"Medium (11-20)",,,,,,,,"Gard P&I",,"27-Apr-2021",,,"26-Apr-2026",21,,19716.32,226,"N",,,,"Efnav","Greece","Efnav","Greece",12,12,32,24,17,21,,"China P.R.","Greece"
