"Listing"

"WFR Listing"
"Created 16 February 2022 17:55"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
12549263,9125580,311000145,"Bulk","Costas L",43929,1997,"Daewoo (DSME)",,,"16-Dec-2019","USD",4,"Chinese interests","China P.R.","LPL Shipping","Greece",,,,8623,,"16-Dec-1994",,24.5,"$m","Y",5,5,,56615,,"N",,,,43929,26870,22
12699627,9216494,636019749,"Bulk","Jin Ming",50354,2001,"Shanghai Shipyard",,,"16-Dec-2019","USD",5.46,"Chinese interests","China P.R.","Jinhui Shpg & Trans","Hong Kong",,,,,,"04-Jun-1999",,18.25,"$m","Y",5,5,,60000,,"N",,,,50354,28693,18
16168396,9488566,538008306,"Bulk","Vincent Gemma",56872,2010,"Taizhou Sanfu",,,"14-Dec-2019","USD",9.8,"Clients of Nanjing King Ship Management","China P.R.","Vincent Shipping AS","Norway",,,,,,"01-Mar-2007",,,,"Y",5,5,,71500,,,,,,56872,32963,9
16166268,9560003,477866800,"Bulk","Aoli 5",24262,2011,"Zhejiang Aoli",,,"11-Dec-2019",,,"Clients of New Unite Marine","China P.R.","Zhejiang Aoli","China P.R.",,,,6861,,"01-Dec-2007",,,,"Y",4,4,,29039,,,,,,24262,15599,8
16326622,9802310,351234000,"Bulk","N/B Tsuneishi Zhoushan SS-214",63805,2020,"Tsuneishi Zhoushan",,,"11-Dec-2019","USD",28,"Japanese interests","Japan","Unknown","Unknown",,,,,,"01-Sep-2015",,,,"Y",5,5,,79015,,,,,,63600,36000,0
16185801,9649706,414088000,"Bulk","Qi Xiang 22",75658,2012,"Shanghai Shipyard",,,"11-Dec-2019","RMB",100.8,"Chinese interests","China P.R.","Ningbo Fonwa Shpg","China P.R.",,,,,,"30-Apr-2010",,,,"N",7,7,,90066,,,,,,75658,40921,7
16178953,9539339,636019710,"Bulk","Siam Success*",12427,2010,"Shin Kochi Jyuko",,5974.01,"11-Dec-2019","USD",12.7,"Undisclosed interests","Unknown","Kansai Steamship Co","Japan",,,,,,"01-Mar-2006",,,,"Y",3,3,,13201,,,,,,12427,7404,9
16093168,9459321,374386000,"Bulk","Grand Thalia",115429,2011,"Jiangnan Changxing",,,"09-Dec-2019","USD",16,"Clients of Profy PP","Ukraine","Pacific Time Shpg.","Hong Kong",,,,,,"07-Dec-2006",,52.5,"$m","N",7,7,,137792,,,,,,115429,64769,8
15646109,9317743,354332000,"Bulk","Lodestar Princess",31901,2005,"Hakodate Dock",,,"06-Dec-2019","USD",6,"Vietnamese interests","Vietnam","Nippon Yusen Kaisha","Japan",,,,,,"01-Sep-2003",,,,"Y",5,5,"N",40872,,"n",,,,31901,19789,14
16051768,9408281,356543000,"Bulk","Tenacity Bay",56937,2008,"Jiangsu Hantong HI",,,"06-Dec-2019","USD",8.8,"Undisclosed interests","Unknown","Pioneer Marine","Singapore",,,,10838,,"25-Aug-2006",,,,"Y",5,5,,71634,,"N",,,,56937,32957,11
14983775,9258325,351879000,"Bulk","Lovely Klara",28186,2002,"Minaminippon (Ozai)",,,"05-Dec-2019","USD",4,"Undisclosed interests","Unknown","Azure Maritime Pte","Singapore",,,,,,"01-Dec-2000",,,,"Y",5,5,,37387,,"N",,,,28186,17150,17
16049228,9363297,370356000,"Bulk","Cielo di Pisa",32248,2008,"Kanda Zosensho",,,"04-Dec-2019","USD",8,"Undisclosed interests","Unknown","Misuga Kaiun Co Ltd","Japan",,,,,,"01-Jan-2006",,,,"Y",5,5,"N",42595,,"N",,,,32248,20236,11
16267916,9708904,636019824,"Bulk","IVS Augusta",57689,2015,"Tsuneishi Cebu",,,"04-Dec-2019","USD",18,"Japanese interests","Japan","Nisshin Shipping","Japan",,,,,,"01-Jun-2013",,,,"Y",5,5,,69348,,,,,,57689,32399,4
16382860,,413796000,"Bulk","Guang Long 2",14026,2009,"Maanshan Tianyu",,,"04-Dec-2019","RMB",23.68,"Clients of Ningbo Yufan Shipping","China P.R.","Ningbo Datang Shpg","China P.R.",,,,,,"01-Jan-2007",,,,"N",3,3,,,,,,,,14026,8333,10
16382857,,412760805,"Bulk","Guang Long 1",12020,2009,"Maanshan Tianyu",,,"04-Dec-2019","RMB",22.78,"Chinese interests","China P.R.","Ningbo Datang Shpg","China P.R.",,,,,,"01-Jan-2007",,,,"N",3,3,,,,,,,,12020,7317,10
16258664,9700811,636016534,"Bulk","Brazen",28050,2014,"Imabari SB (Imabari)",,,"03-Dec-2019","USD",9.4,"Clients of Stellar Navigation","Georgia","Blue Wall Shipping","Greece",,,,,,"01-May-2013",,,,"Y",5,5,,37320,,"N",,,,28284,17027,5
16191994,9598050,477182100,"Bulk","Bao Xiang",56810,2013,"Xiamen Shipbuilding",,,"03-Dec-2019","USD",11.6,"Chinese interests","China P.R.","Luhai Shpg","China P.R.",,,,19300,,"23-Jul-2010",,29.5,"$m","Y",5,5,,71634,,"N",,,,56810,32987,6
12570809,9128116,376985000,"Bulk","Fortune Era",27369,1997,"HHIC (Yeongdo)",,,"03-Dec-2019","USD",3.6,"U.A.E interests","U.A.E.","Alkon Holdings Inc.","Greece",,,,,,"12-Apr-1995",,20.8,"$m","Y",5,5,,35155,,"N",,,,27369,16270,22
15674249,9320300,574004620,"Bulk","Clipper Target*",30634,2006,"Cochin Shipyard",,5966.01,"03-Dec-2019",,,"Vietnamese interests","Vietnam","Clipper Group","Denmark",,,,,,"26-Jan-2004",,,,"Y",5,5,,41390,,"N",,,,30634,19918,13
15674373,9320312,574004610,"Bulk","Clipper Trust*",30611,2007,"Cochin Shipyard","#",5966.02,"03-Dec-2019",,,"Vietnamese interests","Vietnam","Clipper Group","Denmark",,,,,,"26-Jan-2004",,,,"Y",5,5,,41390,,"N",,,,30611,19918,12
15674665,9320348,574004590,"Bulk","Clipper Tenacious*",30634,2007,"Cochin Shipyard","#",5966.03,"03-Dec-2019",,,"Vietnamese interests","Vietnam","Clipper Group","Denmark",,,,,,"26-Apr-2004",,,,"Y",5,5,,41390,,,,,,30634,19918,12
12522437,9104586,351936000,"Bulk","Glyfada",45455,1995,"Tsuneishi Zosen",,,"28-Nov-2019","USD",4,"Clients of DCT Shipping","Ukraine","Eastern Med","Greece",,,,7528,,"06-Apr-1994",,,,"Y",5,5,,57208,"N","N",,,,45455,26091,24
16101001,9467603,538008770,"Bulk","Orient Tribune",33458,2011,"Weihai Samjin SY",,,"27-Nov-2019","USD",8.75,"Clients of Oceanfleet Shipping","Greece","Interorient Nav","Cyprus",,,,9366,,"10-Aug-2007",,35,"$m","Y",5,5,,46284,,,,,,33458,23426,8
12645545,9170262,354853000,"Bulk","Harvest Festival",72497,1998,"Imabari SB Marugame",,,"27-Nov-2019","USD",5.3,"Chinese interests","China P.R.","ADM Shipping","United States",,,,,,"16-May-1997",,,,"N",7,7,"Y",85598,"N","N",,,,72497,37689,21
16216556,,413442560,"Bulk","Zhen Yu 85",24500,2011,"Zhejiang Zhenyu",,,"27-Nov-2019","RMB",43.5,"Chinese interests","China P.R.","Zhenyu Shipping","China P.R.",,,,,,"01-Feb-2010",,,,"N",5,5,,29900,,,,,,24500,15493,8
15328199,9271561,356611000,"Bulk","Azul Fortuna",203095,2005,"Universal SB (Tsu)",,,"27-Nov-2019","USD",15.8,"European interests","Unknown","Fukunaga Kaiun","Japan",,,,,,"01-Apr-2002",,,,"N",9,9,,218211,"N","N",,,,203095,101933,14
16323834,,413417480,"Bulk","Hai Zhi Xing",16176,2007,"Linhai Hongzhou SB",,,"27-Nov-2019","RMB",28.74,"Chinese interests","China P.R.","Zhejiang Xinyihai","China P.R.",,,,4091,,"01-Jan-2005",,,,"N",3,3,,,,,,,,16176,9732,12
15733463,9316892,372536000,"Bulk","Coral Emerald",75632,2007,"Sanoyas",,,"27-Nov-2019","USD",11.5,"Undisclosed interests","Unknown","Biko Kisen","Japan",,,,9955,,"01-Mar-2004",,,,"N",7,7,,87693,"N","N",,,,75632,38893,12
12574807,9131046,353430000,"Bulk","Grand Bridge",45916,1997,"Halla Eng.",,,"26-Nov-2019","USD",4.1,"Chinese interests","China P.R.","Overseas Bulker Ent","Lebanon",,,,7913,,"04-Aug-1995",,,,"Y",5,5,,56315,,"N",,,,45916,26341,22
16115132,9497464,636019688,"Bulk","MS Atlantic",33421,2010,"Qidong Daoda HI",,,"26-Nov-2019","USD",5.5,"Undisclosed interests","Greece","Ayships","Turkey",,,,9328,,"16-May-2008",,,,"Y",5,5,,42319,,,,244,,33421,22064,9
16091522,9456135,538008808,"Bulk","Tatjana",56758,2009,"Jiangsu Hantong HI",,,"25-Nov-2019","USD",8,"Chinese interests","China P.R.","Peter Dohle","Germany",,,,,,"22-Jun-2007",,,,"Y",5,5,,71634,,"N",,,,56758,32987,9
16368864,9866524,636019753,"Bulk","N/B Iwagi Zosen 515",63465,2020,"Iwagi Zosen",,,"22-Nov-2019","USD",28,"Japanese interests","Japan","Ultrabulk Shipping","Chile",,,,,,"01-Feb-2018",,,,"Y",5,5,,80498,,,,,,63400,,0
16193019,9602174,636092940,"Bulk","Graig Cardiff",34827,2012,"CSC Jiangdong",,,"22-Nov-2019","USD",8,"German interests","Germany","Graig Shipping","United Kingdom",,,,,,"16-Jul-2010",,,,"Y",5,5,,46762,,,,,,34827,24187,7
16178579,9552812,636019692,"Bulk","KM Tokyo",83483,2010,"Sanoyas",,,"22-Nov-2019","USD",16,"Undisclosed interests","Unknown","Nissen Kaiun","Japan",,,,,,"01-Dec-2006",,,,"N",7,7,,96152,"N","N",,,,83483,44349,9
16225787,9605059,373142000,"Bulk","Prinsesa Maganda",28361,2012,"I-S Shipyard",,,"20-Nov-2019","USD",8.6,"Undisclosed interests","Unknown","SKM Korea Co Ltd","South Korea",,,,,,"01-Jan-2010",,,,"Y",5,5,,37320,,"N",,,,28361,17019,7
12751639,9261786,477455400,"Bulk","Maria L*",50338,2003,"Jiangnan Shipyard",,5953.01,"20-Nov-2019","USD",6.5,"Chinese interests","China P.R.","Vrontados Shipping","Greece",,,,,,"30-Apr-2001",,,,"Y",5,5,,64800,,"N",,,,50338,30422,15
16142062,9583897,370543000,"Bulk","Aargau",32790,2010,"Jiangsu Universe SB",,,"19-Nov-2019","USD",6.3,"Greek interests","Greece","Massoel Shipping","Switzerland",,,,,,"02-Dec-2006",,,,"Y",5,5,,42500,,,,,,32790,20809,9
12713495,9228394,372684000,"Bulk","Atalanta",32256,2001,"Saiki Hvy. Ind.",,,"19-Nov-2019","USD",5.2,"Vietnamese interests","Vietnam","Alexandria Shipping","Greece",,,,,,"01-Apr-1999",,1.8,"JPYbn","Y",5,5,,40141,,"N",,,,32256,19878,18
15703037,9317705,354273000,"Bulk","Calm Bay",37534,2006,"Saiki Hvy. Ind.",,,"14-Nov-2019","USD",7.8,"Undisclosed interests","Unknown","Pioneer Marine","Singapore",,,,,,"12-Mar-2004",,,,"Y",5,5,,46030,,,,,,37534,22698,13
15347929,9290244,352324000,"Bulk","Lord",52504,2004,"Tsuneishi Cebu",,,"13-Nov-2019","USD",5.34,"Chinese interests","China P.R.","Voyage Shipholding","Greece",,,,,,"30-Sep-2002",,,,"Y",5,5,,67756,,"N",,,,52504,30053,15
15543615,9297931,538008774,"Bulk","Clio",73691,2005,"Jiangnan Shipyard",,,"12-Nov-2019","USD",7.4,"Undisclosed interests","Unknown","Diana Shipping","Greece",,,,,,"31-Jul-2003",,,,"N",7,7,,90571,"N","N",,,,73691,40230,14
59440318,9440318,,"Bulk","Sea Magic",21274,2007,"Linhai Huipu SB",,,"12-Nov-2019","USD",3.3,"Far Eastern interests","Unknown","Pacific & Atlantic","Greece",,,,,,"01-Jul-2005",,,,"Y",4,4,,27992,,,,,,21274,13697,12
59489211,9489211,636019674,"Bulk","Dora Oldendorff",33108,2010,"Zhejiang Zhenghe SB",,,"12-Nov-2019","USD",6,"Undisclosed interests","Unknown","Oldendorff Carriers","Germany",,,,8006,,"28-Apr-2008",,,,"Y",5,5,,42211,,"N",,,,33108,19992,9
12707849,9224790,,"Bulk","Desert Eagle",74066,2002,"Daewoo (DSME)",,,"12-Nov-2019","USD",8.3,"Vietnamese interests","Vietnam","Atlantic Bulk","Greece",,,,12000,,"19-Jan-2000",,,,"Y",7,7,,90757,"N","N",,,,74141,39973,17
16052952,9465320,413228060,"Bulk","Biograd",37729,2010,"Jiangsu Eastern",,,"07-Nov-2019","USD",7,"Chinese interests","China P.R.","Tankerska Plovidba","Croatia",,,,9192,,"15-Sep-2006",,29,"$m","Y",5,5,,48957.3,,,,,,37729,24099,9
14629367,9242508,,"Bulk","Mimosa",52479,2002,"Kanasashi K.K.",,,"06-Nov-2019","USD",7,"Indonesian interests","Indonesia","Trade Fortune Inc.","Greece",,,,8239,,"04-Dec-2000",,,,"Y",5,5,,68259,,"N",,,,52479,29885,17
15761929,9317157,574004580,"Bulk","Mary Lina",52454,2007,"Tsuneishi Zosen",,,"06-Nov-2019","USD",10.2,"Vietnamese interests","Vietnam","Pavimar SA","Greece",,,,,,"01-Dec-2003",,,,"Y",5,5,,67756,,,,,,52454,30046,12
12547001,9117313,353426000,"Bulk","Le Ruby",45950,1996,"CSBC (Keelung)",,,"05-Nov-2019","USD",3.2,"Chinese interests","China P.R.","GMZ Ship","Lebanon",,,,8196,,"18-Nov-1994",,,,"Y",5,5,"Y",57669,,,,,,45950,26330,23
16080997,9442990,355961000,"Bulk","Jal Kumud",76302,2008,"Imabari SB Marugame",,,"04-Nov-2019","USD",12.75,"Undisclosed interests","Unknown","Tolani Group of Shpg","India",,,,,,"01-Dec-2005",,,,"Y",7,7,,90740,"N","N",,,,76302,39871,11
12562091,9050292,351518000,"Bulk","Meghna Princess",47574,1995,"Oshima Shipbuilding",,,"04-Nov-2019","USD",3.5,"Chinese interests","China P.R.","Meghna Marine","Bangladesh",,,,,,,,,,"Y",5,5,"Y",59923,,,,,,47574,26381,24
12561915,9159402,511100388,"Bulk","Minxin",45428,1997,"Oshima Shipbuilding",,,"04-Nov-2019","USD",3.6,"Chinese interests","China P.R.","Skaarup Mgmt (H.K.)","Hong Kong",,,,7197,,"31-Mar-1995",,,,"Y",5,5,,56457,,"N",,,,45428,25047,22
12718579,9228150,356182000,"Bulk","Akson Sara",50913,2001,"Oshima Shipbuilding",,,"04-Nov-2019","USD",6.7,"Undisclosed interests","Unknown","Akson Denizcilik","Turkey",,,,8045,,"30-Sep-1999",,,,"Y",5,5,,65252,,"N",,,,50913,28647,18
16074538,9445693,538003827,"Bulk","Krania",57696,2010,"STX Dalian",,,"01-Nov-2019","USD",10.7,"Clients of Econav","Greece","Neda Maritime Agency","Greece",,,,,,"02-Mar-2007",,,,"Y",5,5,,71500,,,,,,57696,33302,9
12697623,9225031,355275000,"Bulk","Arethusa-I",75319,2001,"Hyundai Samho HI",,,"01-Nov-2019","USD",6.5,"Greek interests","Greece","Dubai Navigation","U.A.E.",,,,,,"15-Dec-1999",,,,"N",7,7,"N",90124,"N","N",,,,75319,40570,18
16172872,9604732,538008745,"Bulk","IVS Magpie",28240,2011,"Imabari SB (Imabari)",,,"31-Oct-2019","USD",10.3,"Japanese interests","Japan","Island View Shpg.","South Africa",,,,,,"01-Jul-2008",,,,"Y",5,5,,37320,,"N",,,,28240,17019,7
16148701,9569956,636019619,"Bulk","Mandarin Hantong*",56741,2011,"Jiangsu Hantong HI",,5938.01,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"31-Jul-2008",,42,"$m","Y",5,5,,71634,,"N",,,,56741,32987,8
16172214,9569243,636019620,"Bulk","Mandarin China*",56693,2011,"Jiangsu Hantong HI","#",5938.02,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"21-Aug-2009",,28.5,"$m","Y",5,5,,71634,,,,,,56693,33034,8
16148714,9569968,636019623,"Bulk","Mandarin Singapore*",56723,2011,"Jiangsu Hantong HI","#",5938.04,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"31-Jul-2008",,42,"$m","Y",5,5,,71634,,"N",,,,56723,32987,8
16172194,9533359,636019621,"Bulk","Mandarin Dalian*",56605,2010,"Jiangsu Hantong HI","#",5938.03,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"21-Aug-2009",,28.5,"$m","Y",5,5,,71634,,,,,,56605,32969,8
16148727,9533347,636019611,"Bulk","Mandarin Phoenix*",56891,2010,"Jiangsu Hantong HI","#",5938.05,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"31-Jul-2008",,42,"$m","Y",5,5,,71634,,,,,,56891,32969,9
16148693,9533335,636019610,"Bulk","Mandarin River*",56724,2011,"Jiangsu Hantong HI","#",5938.06,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"31-Jul-2008",,42,"$m","Y",5,5,,71634,,"N",,,,56724,33044,7
16148680,9533323,636019624,"Bulk","Mandarin Noble*",56693,2012,"Jiangsu Hantong HI","#",5938.07,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"31-Jul-2008",,42,"$m","Y",5,5,,71634,,"N",,,,56693,33044,7
16074433,9478157,636019622,"Bulk","Mandarin Eagle*",56882,2008,"Jiangsu Hantong HI","#",5938.08,"30-Oct-2019",,,"Clients of CS Leasing (Tianjin)","China P.R.","Dasin Shipping","China P.R.",,,,,,"09-Feb-2007",,33.5,"$m","Y",5,5,,71634,,"N",,,,56882,32957,11
16224256,9624055,538008748,"Bulk","Eternal Triumph",55830,2012,"I.H.I. (Kure)",,,"30-Oct-2019","USD",14.25,"Greek interests","Greece","Clio Marine","Japan",,,,10048,,"01-Dec-2010",,,,"Y",5,5,,70308,,"N",,,,55830,31538,7
12480915,9015591,471235000,"Bulk","Niki",101652,2006,"2 Mai Shipyard",,,"28-Oct-2019","USD",12.1,"U.A.E interests","U.A.E.","Kondinave","Greece",,,,17602,,"03-May-1988",,,,"N",7,7,,113259,"N","N",,,,101652,56810,13
16295469,9758363,538008751,"Bulk","Fortune Symphony",57809,2016,"Tsuneishi Zosen",,,"25-Oct-2019","USD",20.5,"Japanese interests","Japan","Kambara Kisen KK","Japan",,,,,,"01-Jun-2014",,,,"Y",5,5,,72654,,,,,,57809,32378,2
16142075,9611618,413289250,"Bulk","Thurgau",32790,2011,"Jiangsu Universe SB",,,"25-Oct-2019","USD",6.7,"Greek interests","Greece","Massoel Shipping","Switzerland",,,,,,"02-Dec-2006",,,,"Y",5,5,,42500,,,,,,32790,20924,8
11320283,8814639,408832000,"Bulk","Bramco 1",36700,1990,"COSCO HI (Guangdong)",,,"23-Oct-2019","RMB",20.88,"Clients of Sunrise International","China P.R.","Bramco WLL","Bahrain","Products","Bangladesh",2012,9024,397,,"13-Dec-2019",,,"N",4,4,,,,,"Bangladesh",,,36700,26162,29
15321729,9283849,352368000,"Bulk","Panforce",28492,2004,"Imabari SB (Imabari)",,,"22-Oct-2019","USD",5.9,"Greek interests","Greece","Arista Shipping SA","Greece",,,,,,"27-Sep-2002",,,,"Y",5,5,,37523,,"N",,,,28492,16954,15
12736481,9223631,636019614,"Bulk","Ho Bao",23649,2001,"Shin Kochi Jyuko",,,"22-Oct-2019","USD",4.2,"Chinese interests","China P.R.","Ho Feng Maritime","Taiwan",,,,,,"01-Dec-1999",,,,"Y",4,4,,31290,,"N",,,,23649,14458,18
12618165,9153111,374416000,"Bulk","Baolong",46658,1998,"Mitsui SB (Tamano)",,,"22-Oct-2019","USD",4,"Undisclosed interests","Unknown","Luhai Shpg","China P.R.",,,,7770,,"24-Jul-1996",,2.5,"JPYbn","Y",5,5,,59820,,"N",,,,46658,27011,21
16077968,9478884,538008733,"Bulk","Centenario Blu",55594,2011,"Mitsui SB (Tamano)",,,"22-Oct-2019","USD",14,"Clients of New Vision","Greece","Meiji Shipping Co","Japan",,,,8500,,"23-Mar-2007",,,,"Y",5,5,,70810,,"N",,,,55594,31244,8
12688739,9214123,525074440,"Bulk","Oregon",74204,2002,"Oshima Shipbuilding",,,"18-Oct-2019","USD",7,"Indonesian interests","Indonesia","Cardiff Marine","Greece",,,,10088,,"18-Dec-1998",,2.62,"JPYbn","N",7,7,,89375,"N","N",,,,74204,38727,17
16030321,9370006,538008752,"Bulk","Stove Phoenix",55840,2007,"Kawasaki HI Kobe",,,"18-Oct-2019","USD",11,"Indonesian interests","Indonesia","Stove Shipping AS","Norway",,,,8583,,"01-Jan-2005",,,,"Y",5,5,,69450,,,,,,55840,30818,12
16346659,9849318,636018970,"Bulk","Bulk Seoul",207992,2019,"New Times SB",,,"16-Oct-2019","USD",42,"Clients of Ocean Yield","Norway","2020 Bulkers","Norway",,,,,,"20-Dec-2017",,44.7,"$m","N",9,9,,223194,,,,,,208000,,0
16346675,9849320,636018971,"Bulk","Bulk Shanghai",208445,2019,"New Times SB",,,"16-Oct-2019","USD",42,"Clients of Ocean Yield","Norway","2020 Bulkers","Norway",,,,,,"20-Dec-2017",,44.7,"$m","N",9,9,,223194,,,,,,208000,,0
80452885,9581784,538008734,"Bulk","Shiny Halo",61496,2011,"Shin Kasado Dock",,,"15-Oct-2019","USD",16.5,"Clients of Empros Lines","Greece","Murakami Sekiyu","Japan",,,,,,"01-Jan-2009",,,,"Y",5,5,,77674,,"N",,,,61496,34778,8
12724967,9254549,405000263,"Bulk","Grasshopper",53146,2002,"Imabari SB Marugame",,,"15-Oct-2019","USD",6,"Bangladesh interests","Bangladesh","British Marine","Greece",,,,8800,,"29-Oct-1999",,,,"Y",5,5,,68852,"N","N",,,,53146,30000,17
12592393,9142100,352097000,"Bulk","Forza",28564,1997,"Kanda Zosensho",,,"15-Oct-2019","USD",3.2,"Chinese interests","China P.R.","Amber Denizcilik","Turkey",,,,6246,,"01-Dec-1995",,,,"Y",5,5,,37694,,,,,,28564,17429,22
16165287,9574183,355883000,"Bulk","King Sugar",28196,2010,"I-S Shipyard",,,"15-Oct-2019","USD",7.25,"Undisclosed interests","Vietnam","Santoku Shipping","Japan",,,,,,"01-Jul-2008",,,,"Y",5,5,,37320,,"N",,,,28196,17025,9
15316833,9336036,538007474,"Bulk","Real Happiness",76602,2005,"Imabari SB Marugame",,,"14-Oct-2019","USD",10.2,"Greek interests","Greece","Pavimar SA","Greece",,,,,,"20-Sep-2002",,,,"N",7,7,,90740,"N","N",,,,76602,39727,14
16097708,9460904,209761009,"Bulk","Mangarella",82654,2009,"Tsuneishi Zosen",,,"11-Oct-2019","USD",15,"Greek interests","Greece","Misuga Kaiun Co Ltd","Japan",,,,,,"01-Jan-2006",,,,"N",7,7,,97233,"N","N",,,,82654,43152,10
16267158,9708538,219359000,"Bulk","KS Flora",35678,2015,"Tsuneishi Cebu",,,"11-Oct-2019","USD",15.5,"European interests","Unknown","Kumiai Senpaku KK","Japan",,,,,,"11-Sep-2013",,,,"Y",5,5,,45626.4,,,,,,35678,22285,4
16315242,9784374,636019832,"Bulk","Falcon Trader*",81895,2016,"Tsuneishi Zhoushan","#",5922.03,"09-Oct-2019",,,"Clients of CDB Leasing","China P.R.","Nisshin Shipping","Japan",,,,,,"01-Jun-2015",,,,"N",7,7,,97246.7,,,,,,81895,43066,2
16233779,9652583,636019829,"Bulk","Trustn Trader II*",82293,2015,"Oshima Shipbuilding","#",5922.02,"09-Oct-2019",,,"Clients of CDB Leasing","China P.R.","Nisshin Kaiun","Japan",,,,,,"01-Nov-2011",,,,"N",7,7,,98376,,,,,,82293,43692,4
