"Listing"

"WFR Listing"
"Created 15 February 2022 02:21"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
16149540,9532628,"Pacific Mariner","01-Jan-2015","China VLOC","In Service",201384,,,,"Atlantic/Pacific",,,"20-Sep-2014",11.94,,68974,,,"Capesize Bulker","21-Jan-2020",,,"Pacific Mariner",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1116","Pacific Mariner Shipping Co Lt",,"Hong Kong",,"VROY8"
16149511,9532599,"Yuan Zhuo Hai","01-Jul-2014","China Ore Shipping","In Service",201384,,,,"Atlantic/Pacific",,,"03-Mar-2013",11.23,,68974,,,"Capesize Bulker","30-Jun-2020",,,"Yuan Zhuo Hai",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,"Y","H1113","China Ore Shipping Pte. Ltd.",,"China P.R.",,"9V9123"
16173495,9575503,"Sea Ponta da Madeira","01-Sep-2016","Pan Ocean","In Service",199959,,,12719.7,"Atlantic/Pacific",,,"03-Jan-2013",10.65,,77072,,"Y","Bulker","10-Nov-2019",,,"Sea Ponta da Madeira",189347,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 78rpm, Ø9.80m",,"Y",,,,,,,"1707","Pos Maritime Ub S.A.",,"South Korea",,"V7ES8"
16334469,9827865,"NSU Carajas","01-Dec-2019","NS United KK","In Service",197453,,,8622,"Atlantic/Pacific",,,"13-Sep-2019",11.98,,74862,,"Y","Capesize Bulker",,,,"NSU Carajas",,"1 x FP Propeller (Aft Centre) (mechanical), 84rpm",,"Y",,,,,,,"5166","ROSSO LINE S.A.",,"Japan",,"D5VB9"
16340073,9837987,"NSU Brazil","01-Dec-2020","NS United KK","In Service",197453,,,8622,"Atlantic/Pacific",,,"30-Sep-2020",13.12,,74862,,,"Capesize Bulker",,,,"NSU Brazil",,"1 x Propeller (Aft Centre) (mechanical), 73.80rpm",,"Y",,,,,,,"5167","SELENITE LINE S.A.",,"Japan",,"D5YO9"
16352834,9848194,"NSU Tubarao","01-Sep-2020","NS United KK","In Service",197453,,,8622,"Atlantic/Pacific",,,"09-Jul-2020",12.52,,74862,,,"Capesize Bulker",,,,"NSU Tubarao",,"1 x FP Propeller (Aft Centre) (mechanical), 73.80rpm",,"Y",,,,,,,"5215","Tiger Heart Shipping SA",,"Japan",,"D5XV5"
16348853,9886653,"Nansha Honor","01-Dec-2020","China Ore Shipping","In Service",173794,,,,"Atlantic/Pacific",,,"26-Aug-2020",12.46,,57984,"Y",,"Capesize Bulker",,,,"Nansha Honor",214820,"1 x FP Propeller (Aft Centre) (mechanical), 58rpm",,,,,,"Y",,"Y","NB018-1",,,"China P.R.",,"9V6310"
16348866,9897391,"Haizhu Prosperity","01-Mar-2021","China Ore Shipping","In Service",173794,,,,"Atlantic/Pacific",,,"23-Nov-2020",12.42,,57984,"Y",,"Capesize Bulker",,,,"Haizhu Prosperity",214820,"1 x FP Propeller (Aft Centre) (mechanical), 58rpm",,,,,,"Y",,"Y","NB018-2",,,"China P.R.",,"9V6311"
16348879,9917696,"Nansha Glory","01-Sep-2021","China Ore Shipping","In Service",173794,,,,"Atlantic/Pacific",,,"18-Jun-2021",12.24,,57984,"Y",,"Capesize Bulker",,,,"Nansha Glory",214820,"1 x FP Propeller (Aft Centre) (mechanical), 58rpm",,,,,,"Y",,"Y","NB018-3",,,"China P.R.",,"9V6313"
16348895,9917701,"Haizhu Flourish","01-Aug-2021","China Ore Shipping","In Service",173794,,,,"Atlantic/Pacific",,,"18-Apr-2021",12.47,,57984,"Y",,"Capesize Bulker",,,,"Haizhu Flourish",214820,"1 x FP Propeller (Aft Centre) (mechanical)",,,,,,"Y",,"Y","NB018-4",,,"China P.R.",,"9V6314"
