"Listing"

"WFR Listing"
"Created 09 March 2022 19:30"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
12820531,"HHIC (Yeongdo)",16915,,,,1641,,"04-Feb-1994",,38.4,7595,"Sub-Panamax Container",,,,"Arca",6926,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,,,,,,"N-615","Arca Shipping AS","Greece",,"ELRM4",24.5,"Containerships",,"Medium (11-20)","Greece"
12820957,"Samsung HI",37398,,,4200,3424,,"14-Aug-1993",13.22,62.6,20334,"Container",,1366,2058,"MSC Monica",11213,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",,,,,,,,,"1103","Monica Oceanway Ltd.","Switzerland",,"3FSU7",,"Containerships",,"Extra Large (100+)","Italy"
12821033,"Samsung HI",37398,,,4200,3424,,"04-Jun-1993",13.2,62.6,20334,"Container",,1366,2058,"MSC Martina",11213,"1 x FP Propeller (Aft Centre) (mechanical), 104rpm",23,,,,,,,,"1102","Martina Oceanway Ltd.","Switzerland",,"3FVY7",,"Containerships",,"Extra Large (100+)","Italy"
12821909,"J. J. Sietas",3999,,,,508,246,"10-Aug-1993",10.68,15,2233,"Sub-Panamax Container",,143,365,"Christina 1",1764,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",,,,,,,,,"1083","CHRISTINA SHIPPING CO. S.A.","Egypt",,"3E3604",,"Containerships",,"Very Small (1-5) ","Egypt"
12822085,"J. J. Sietas",3998,,,,508,246,"31-Aug-1993",10.24,15,2233,"Diverse",,143,365,"Archer",1764,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion, 162rpm",,,,,,,,,"1084","ARCHER SHIPPING CORP.","Turkey",,"YJTY7",,"Containerships",,"Very Small (1-5) ","Turkey"
12822119,"J. J. Sietas",3998,,,,508,246,"15-Jun-1993",10.88,15,2233,"Sub-Panamax Container",,143,365,"Scorpion 1",1764,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion, 162rpm",15,,,,,,,,"1085","ASK-SHIPPING92 CO.","Romania",,"3E3591",,"Containerships",,"Very Small (1-5) ","Romania"
12822377,"J. J. Sietas",3999,,,,508,,,13.11,15,2233,"Diverse",,143,365,"Caribe Legend",1764,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion, 161rpm",9,,,,,,,,"1089","Caribe Shipping And Trading Corp.","United States",,"V2ST",,"Containerships",,"Small (6-10) ","United States"
12822401,"J. J. Sietas",3999,,,,508,,"27-Oct-1993",12.77,15,2233,"General Cargo",,143,365,"Anna G.",1764,"1 x CP Propeller (Aft Centre) (mechanical), Wartsila Propulsion",10,,,,,,,,"1090","Gerems Schiffahrts GmbH & Co. KG MS "ANNA G."","Germany",,"5BNB4",,"Containerships",,"Medium (11-20)","Germany"
12822535,"J. J. Sietas",3999,,,,508,246,,,15,2233,"Sub-Panamax Container",,143,365,"Deneb",1764,"1 x CP Propeller (Aft Centre) (mechanical)",,,,,,,,,"1091",,"Germany",,"V2CM6",19.17,"Containerships",,"Medium (11-20)","Germany"
12823161,"Odense Lindo",20842,,,1378,1839,,,13.44,,10316,"Post-Panamax Container",,,,"Maersk Taasinge",10611,"FP Propeller (Aft) (mechanical) (Bronze), 120rpm",14,,,,,,,,"151","MAERSK SHIPPING HONG KONG LIMITED","Denmark",,,27.17,"Containerships",,"Extra Large (100+)","Denmark"
