"Listing"

"WFR Listing"
"Created 09 March 2022 20:03"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
12874321,"International",,,,,"Atlantic",,,,,,10,,,,,,,,,,90,,,,,,,15,"FCC",,"Forward",,,75,"N"
12874455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,"FCC",,,,,100,"N"
12874871,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,14.3,"FCC",,,,,82,"N"
12876909,"International",,,,,"Pacific",,,,,,,,,,,,57,43,,,,,,,,,,13.5,"FCC",,,7,10,200,"N"
12877085,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.5,"FCC",,,7,10,200,"N"
12877243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,70,"N"
12877401,"International",,,,,"Atlantic",,,,,11,,,89,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,127,"N"
12877535,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,90,"N"
12877669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,90,"N"
12877827,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,11.1,"FCC",,"Aft",6,9,90,"N"
12878453,"International",,,,,"Atlantic",,,,5,64,,,31,,,,,,,,,,,,,,,24.2,"FCC",,,,15,390,"N"
12878587,"International",,,,,"Atlantic/Pacific",,,,5,23,17,4,11,,4,27,3,6,,,,,,,,,,24.2,"FCC",,,,15,390,"N"
12878611,"International",,,,,"Atlantic/Pacific",,,,,52,,4,19,,2,16,2,5,,,,,,,,,,24.2,"FCC",,,,15,390,"N"
12878745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,,,10,197,"N"
12878879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,"FCC",,,,10,197,"N"
12878903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"FCC",,"Aft",,,206,"N"
12879539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,"FCC",,,3,7,40,"N"
12880135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.23,"FCC",,,,,114,"N"
12880427,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,10.6,"FCC",,,,,50,"N"
12880685,"International",,,,,"Atlantic",,,8,,,92,,,,,,,,,,1,,,,,,,19,"FCC",,,4,,149,"N"
12880719,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,19,"FCC",,,,13,149,"N"
12881053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,"FCC",,"Aft",6,9,100,"N"
12881345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,"FCC",,,,,100,"N"
12881479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,"FCC",,"Aft",5,,100,"N"
12881637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"FCC",,,6,13,200,"N"
12882971,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,9,150,"N"
12883057,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,9,150,"N"
12883181,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,12.8,"FCC",,,,9,150,"N"
12883349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"FCC",,"Aft",5,11,206,"N"
12884975,"National",,"Vietnam","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,9.5,"FCC",,,,,30,"N"
12885893,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,9.3,"FCC",,"Aft",5,7,100,"N"
12886137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",5,,100,"N"
12886261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,"Aft",5,,42,"N"
12886395,"International",,,,,"Pacific",,,,,,,,,,,39,25,7,29,,,,,,,,,13.5,"FCC",,"Aft",5,,42,"N"
12886553,"International",,,,,"Atlantic",,,,,3,,,97,,,,,,,,,,,,,,,13.9,"FCC",,"Aft",,,150,"N"
12887189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,"FCC",,"Aft",6,,152,"N"
12887213,"International",,,,,"Pacific",,,,3,,,72,,,,20,2,3,,,,,,,,,,13.9,"FCC",,"Aft",,,152,"N"
12887347,"International",,,,,"Pacific",40,60,,,,,,,,,,,,,,,,,,,,,16.35,"FCC",,,6,13,284,"N"
12887471,"International",,,,,"Atlantic/Pacific",,,35,11,33,,22,,,,,2,,,,,,,,,,,19,"FCC",,,6,13,284,"N"
12890363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,"FCC",,,,,160,"N"
12890497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,"FCC",,,,,160,"N"
12890521,"International",,,,"Asia","Pacific",,,,,,,,,,,48,,52,,,,,,,,,,13.6,"FCC",,,,,150,"N"
12890655,"International",,,,"Asia","Pacific",,,,,,,,,,,50,,50,,,,,,,,,,13.6,"FCC",,,,,190,"N"
