"Listing"

"WFR Listing"
"Created 16 February 2022 06:06"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
16264407,9,"1 x Exhaust Scrubber - SOx - ContiOcean",,,,,"International",,,,,,,9,6,5,19,4,3,3,2,27,2,20,,,0,,,,,,,,"S","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 220ekW total, (275kVA total)",24.9,"Bulk Carrier",45
16358328,7,"1 x Exhaust Scrubber - SOx - Ecospray",,,,,"International",,,,,,,3,,21,,1,26,,21,,27,,,,,,,,,,,"1 x Boiler, Composite - Mitsubishi HI Mach",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz",20.5,"Bulk Carrier",43.05
16369708,7,,"1 x Selective Catalytic Reduction - NOx",,,,"International",,,,,,,,,0,23,0,5,,6,9,5,29,5,,17,,,,,,,"1 x Exhaust Gas Economiser - Alfa Laval XS-2V",,"1 x Emergency Diesel Gen. - Cummins Inc NTA855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 358mkW total at 1,800rpm driving 1 x ac generator(s) at 60Hz",21.3,"Bulk Carrier",38.04
16369711,7,,"1 x Selective Catalytic Reduction - NOx",,,,"International",,,,,,,,,0,19,0,9,,6,17,6,6,6,,31,,,,,,,"1 x Exhaust Gas Economiser - Alfa Laval XS-2V",,"1 x Emergency Diesel Gen. - Cummins Inc NTA855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 358mkW total at 1,800rpm driving 1 x ac generator(s) at 60Hz",21.3,"Bulk Carrier",38.04
16202559,8,,,,,203.71,"International",,,,,,7,,33,9,,13,,2,,26,,11,,,,,,,,,,"1 x Boiler, Composite - Aalborg Mission™ OC",,"1 x Emergency Diesel Gen. - Deutz TD914L06M - 4-stroke 6-cyl. 102mm x 125mm bore/stroke 99mkW total at 1,500rpm driving 1 x AC generator(s) at 50Hz",20.2,"Bulk Carrier",36.08
16178153,8,,,,,268.15,"International",,,,,8,6,,25,7,,13,1,1,,28,1,10,1,,,,,,,,,"1 x Boiler, Composite - Alfa Laval","F","1 x Emergency Diesel Gen. - Deutz TD914L06M - 4-stroke 6-cyl. 102mm x 125mm bore/stroke 99mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",19.54,"Bulk Carrier",36.00
16279980,7,,,,,,"International",,,,,,,,,,,,,34,8,28,6,24,,,,,,,,,,"1 x Boiler, Exhaust Heated - Saacke, 1 x Boiler, Oil/Gas fired - Saacke - ",,"1 x Emergency Diesel Gen. - Scania DI13 075M - 4-stroke 6-cyl. 130mm x 160mm bore/stroke 376mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",20.19,"Bulk Carrier",32.73
16272981,7,,,,,,"International",,,,,,,,,,,,11,24,10,33,1,20,,,,,,,,,,"1 x Boiler, Oil/Gas fired - Saacke - , 1 x Boiler, Exhaust Heated - Saacke",,"1 x Emergency Diesel Gen. - Scania DI13 075M - 4-stroke 6-cyl. 130mm x 160mm bore/stroke 376mkW total at 1,800rpm driving 1 x ac generator(s) at 60Hz",20.19,"Bulk Carrier",32.73
16232064,7,,,,,,"National",,"China P.R.","East Asia","Asia",,,,,,,,,,,100,,,,,,,,,,,,"1 x Boiler, Composite - Saacke - 323m2 at 9 bar","S",,19.6,"Bulk Carrier",32.68
16265662,5,,,,,,"International",,,,,,,,33,9,20,0,11,,5,12,3,7,,,,,,,,,,"1 x Boiler, Composite - Saacke",,"1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,800rpm driving 1 x ac generator(s) at 60Hz",15,"Bulk Carrier",32.60
16408490,5,,,,,,"International",,,,,31,,,,,,,,,,65,,4,,,,,,,,,,,,"1 x Emergency Diesel Gen. - 4-stroke  driving 1 x ac generator(s)",18.6,"Bulk Carrier",32.39
16245280,7,,,,,,"International",,,,,,,8,,8,63,,0,,2,,1,,,,20,,,,,,,"1 x Boiler, Composite - Aalborg",,"1 x Emergency Diesel Gen. - 4-stroke  driving 1 x generator(s)",19.79,"Bulk Carrier",32.33
16245293,7,,,,,,"International",,,,,,,21,4,5,26,,28,,,,,,,,17,,,,,,,,,"1 x Emergency Diesel Gen. - Deutz TCD914L06M - 4-stroke 6-cyl. 102mm x 132mm bore/stroke 129mkW total at 1,800rpm driving 1 x generator(s)",19.79,"Bulk Carrier",32.33
16253256,7,"1 x Exhaust Scrubber - SOx - ME Production",,,,,"International",,,,,7,,,13,4,,7,,11,,34,4,16,5,,,,,,,,,,"S","1 x Emergency Diesel Gen. - Deutz4-stroke  driving 1 x AC generator(s) at 60Hz",20.01,"Bulk Carrier",32.32
16272994,7,,,,,,"International",,,,,,,,,,,,,25,11,33,6,17,7,,,,,,,,,"1 x Boiler, Exhaust Heated - Saacke, 1 x Boiler, Oil/Gas fired - Saacke - ",,"1 x Emergency Diesel Gen. - Scania DI13 075M - 4-stroke 6-cyl. 130mm x 160mm bore/stroke 376mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",20.2,"Bulk Carrier",32.32
16254279,5,"1 x Exhaust Scrubber - SOx - Pacific Green Tech",,,,,"International",,,,,,,,12,24,10,13,,,5,18,4,15,,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach","F","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s)",18.5,"Bulk Carrier",32.32
