"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16292855,9754094,538006478,"Bulk","Interlink Audacity*",39100,2016,"Zhejiang Zengzhou HI",,6509.01,"26-Jan-2022","USD",280,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"01-Apr-2014",,,,"Y",5,5,,48309,,,,,,39100,24940,5
16292842,9754082,538006477,"Bulk","Interlink Affinity*",39046,2016,"Zhejiang Zengzhou HI","#",6509.02,"26-Jan-2022",,,"Undisclosed interests","Unknown","Interlink Ltd","United States",,,,,,"01-Apr-2014",,,,"Y",5,5,,48308.87,,,,,,39046,24940,5
16232585,9663740,636016774,"Bulk","Cielo Di Virgin Gorda",39202,2015,"Zhejiang Yangfan",,,"25-Jan-2022","USD",22.7,"German interests","Germany","D'Amico Ireland","Italy",,,,10380,,"17-May-2012",,22.3,"$m","Y",5,5,,50789.1,,,,,,39202,25303,6
16182426,9562049,477098700,"Bulk","Jin Hang",93069,2012,"CSC Jinling Shipyard",,,"21-Jan-2022","USD",17.22,"Undisclosed interests","Unknown","ICBC Leasing","China P.R.",,,,,,"01-Aug-2009",,,,"N",7,7,,110330,,"N",,,,93069,51130,9
16195776,9603702,477024500,"Bulk","Jin Hao",56625,2012,"CSC Qingshan SY",,,"21-Jan-2022","USD",15.68,"Undisclosed interests","Unknown","ICBC Leasing","China P.R.",,,,,,"01-Feb-2010",,,,"Y",5,5,,71634,,"N",,,,56625,32694,9
16240919,9660621,538009090,"Bulk","Molyvos Luck",57924,2014,"Tsuneishi Zhoushan",,,"20-Jan-2022",,,"Clients of EuroDry","Greece","Eurobulk","Greece",,,,9886,,"01-Aug-2011",,,,"Y",5,5,,72654,,,,,,57924,32350,7
16055690,9360013,525120023,"Bulk","West Wind",56557,2008,"I.H.I. (Yokohama)",,,"20-Jan-2022","USD",17,"Clients of Gurita Lintas","Indonesia","La Maritime","Greece",,,,,,"06-Oct-2006",,36.5,"$m","Y",5,5,,72111,,"N",,,,56557,31532,13
16101027,9467615,538005074,"Bulk","Intrepid Eagle",33773,2013,"Weihai Samjin SY",,,"19-Jan-2022","USD",15,"Undisclosed interests","Unknown","Intrepid Shipping","United States",,,,,,"10-Aug-2007",,35,"$m","Y",5,5,,46284,,,,,,33773,23426,8
16269815,9724776,258491000,"Bulk","Bellight*",63073,2016,"New Times SB","#",6510.02,"19-Jan-2022",,,"Undisclosed interests","Unknown","Belships","Norway",,,,,,"17-Sep-2013",,,,"Y",5,5,,77800,,"N",,,,63073,36396,5
16253948,9698185,374060000,"Bulk","Belforest*",61252,2015,"Shin Kasado Dock",,6510.01,"19-Jan-2022",,,"Undisclosed interests","Unknown","Belships ASA","Japan",,,,,,"05-Jun-2013",,28,"$m","Y",5,5,,77674,,"N",,,,61252,34773,6
16167173,9664976,412379870,"Bulk","Hui Xin 18",35045,2012,"Zhejiang Jiuzhou",,,"19-Jan-2022","RMB",74,"Undisclosed interests","Unknown","Zhejiang Huixin","China P.R.",,,,,,"01-Dec-2007",,,,"Y",5,5,,45647,,,,,,35045,22475,9
16146781,9527960,566600000,"Bulk","Crimson Princess",38395,2012,"Naikai Innoshima",,,"14-Jan-2022","USD",19,"Undisclosed interests","Unknown","MMSL","Japan",,,,,,"09-Jul-2008",,,,"Y",5,5,,47235,,,,,,38395,23853,9
16030284,9381213,372336000,"Bulk","Coral Diamond",76596,2007,"Imabari SB Marugame",,,"14-Jan-2022","USD",16,"Undisclosed interests","Unknown","Kitaura Kaiun KK","Japan",,,,,,"01-Jan-2005",,,,"N",7,7,,90740,"N","N",,,,76596,39738,14
15757243,9322774,636018932,"Bulk","Sparrow",53459,2005,"Imabari SB (Imabari)",,,"11-Jan-2022","USD",13.5,"Undisclosed interests","Unknown","Tiara Nvgtn","Greece",,,,8506,,"27-May-2004",,,,"Y",5,5,,59820,"N","N",,,,53459,30002,16
12520691,9105578,354320000,"Bulk","Ocean Dotey",70153,1995,"Sumitomo (Yokosuka)",,,"11-Jan-2022","USD",7.8,"Undisclosed interests","Unknown","Zhuo Cheng","China P.R.",,,,10377,,"25-Mar-1994",,2.9,"JPYbn","N",7,7,,81839,,,,,,70153,36615,26
12498431,9057018,352658000,"Bulk","Best Vision",95625,1993,"Oshima Shipbuilding",,,"07-Jan-2022",,,"Undisclosed interests","Unknown","Ocean Faith","China P.R.",,,,,,,,,,"N",7,7,,109918,"N","N",,,,95625,53935,28
12757057,9238296,352978185,"Bulk","El Sol Sale",75894,2002,"Kanasashi K.K.",,,"07-Jan-2022","USD",11.5,"Chinese interests","China P.R.","Asahi Shipping","Japan",,,,,,"30-Apr-2000",,,,"N",7,7,,90165,"N","N",,,,75894,39239,19
16237935,9667899,373100000,"Bulk","Tanikaze",56064,2013,"Minaminippon (Ozai)",,,"07-Jan-2022","USD",23,"Undisclosed interests","Unknown","Usui Kaiun Co. Ltd.","Japan",,,,,,"01-Sep-2011",,,,"Y",5,5,,71345,,,,,,56064,31753,8
16304312,9832456,636019211,"Bulk","Berge Taranaki",36896,2019,"Oshima Shipbuilding",,,"06-Jan-2022","USD",27,"Undisclosed interests","Unknown","ORIX Maritime Corp","Japan",,,,,,"27-Mar-2015",,,,"Y",5,5,,47044,,,,,,36896,22683,2
16086515,9450806,371985000,"Bulk","Longshore",34399,2010,"SPP Tongyoung SY",,,"06-Jan-2022","USD",15,"European interests","Unknown","New Trade Ship Mgmt","Greece",,,,,,"17-May-2007",,35,"$m","Y",5,5,,48765,,,,,,34399,23456,11
16126370,9498729,236111913,"Bulk","Sicilian Express",93076,2013,"COSCO Dalian SY",,,"05-Jan-2022","USD",19.95,"Undisclosed interests","Unknown","Vroon BV","Netherlands",,,,,,"18-Jan-2008",,,,"N",7,7,,110330,,"N",,,,93076,51209,8
15327013,9262572,374141000,"Bulk","Alpaslan Oba",35015,2004,"Taizhou Kouan SB",,,"05-Jan-2022","USD",22,"Singaporean intrerests","Singapore","Savana Shpg Line","Turkey",,,,,,"11-Oct-2002",,16.6,"$m","Y",9,9,,44673,,,,1878,,35015,24960,17
16226755,9641704,538008243,"Bulk","Scorpio",74930,2012,"Sasebo HI",,,"30-Dec-2021","USD",23.55,"Clients of Castor Maritime","Cyprus","Pavimar SA","Greece",,,,,,"13-Sep-2011",,,,"N",7,7,,90771,,,,,,74930,40334,8
