"Listing"

"WFR Listing"
"Created 09 March 2022 20:02"


"CVN","Core Deployment Type (Last 12 Months)","Port Core Deployment (Last 12 Months)","Country Core Deployment (Last 12 Months)","Region Core Deployment (Last 12 Months)","Continent Core Deployment (Last 12 Months)","Atlantic/Pacific Deployment (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Hatch Description","Depth Moulded (m)","Group","Beam Ext (m)","Bridge Position Ind","Max TEU Tiers on Deck","TEU Max Row Athwart","Reefer Plugs Total No","Twin Island (Ind)"
13113171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,"FCC",,,,,200,"N"
13113621,"International",,,,,"Atlantic/Pacific",,,,9,25,1,52,5,,2,,7,,,,,,,,,,,19,"FCC",,,,,152,"N"
13113755,"International",,,,,"Atlantic/Pacific",,,,,13,,71,,,5,,12,,,,,,,,,,,19,"FCC",,,,,152,"N"
13115333,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,11.2,"FCC",,,,,80,"N"
13115467,"International",,,,"Asia","Pacific",,,,,,,,,,,61,,,39,,,,,,,,,19,"FCC",,,,,450,"N"
13116385,"International",,,,,"Atlantic",,,93,7,,,,,,,,,,,,,,,,,,,20.8,"FCC",,,,11,990,"N"
13116419,"International",,,,,"Atlantic",,,92,8,,,,,,,,,,,,,,,,,,,20.8,"FCC",,,,11,990,"N"
13118389,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118413,"International",,,,"Asia","Pacific",,,,,,,,,,,66,,34,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118547,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118671,"International",,,,"Asia","Pacific",,,,,,,,,,,34,,66,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118705,"International",,,,"Asia","Pacific",,,,,,,,,,,53,,47,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118839,"International",,,,"Asia","Pacific",,,,,,,,,,,28,,72,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13118963,"International",,,,"Asia","Pacific",,,,,,,,,,,98,,2,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13119049,"International",,,,"Asia","Pacific",,,,,,,,,,,48,,52,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13119173,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13119207,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,13.9,"FCC",,,,,170,"N"
13122515,"International",,,,,"Pacific",,,,,,,3,,,97,,0,,,,,,,,,,,16.7,"FCC",,,,,400,"N"
13122649,"International",,,,,"Pacific",,,,,,,,,,66,,29,5,,,,,,,,,,16.7,"FCC",,,6,4,400,"N"
13122931,"International",,,,,"Pacific",,,,,,,,,,,2,71,28,,,,,,,,,,13.2,"FCC",,,,,350,"N"
13123017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,"FCC",,,,,435,"N"
13123141,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.2,"FCC",,,,,435,"N"
13125279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,"FCC",,,6,16,500,"N"
13125303,"International",,,,,"Pacific",13,,,1,,2,,,,,30,27,26,1,,,,,,,,,24.3,"FCC",,,6,16,500,"N"
13125437,"International",,,,,"Atlantic/Pacific",19,,12,,,,,,16,,40,,11,2,,,,,,,,,24.3,"FCC",,,6,16,500,"N"
13125561,"International",,,,"Europe","Atlantic",,,,,0,49,,50,,,,,,,,,,,,,,,24.4,"FCC",,,6,16,500,"N"
13125695,"International",,,,,"Atlantic",,,42,39,6,,,12,,,,,,,,,,,,,,,24.3,"FCC",,,6,16,500,"N"
13126197,"Regional",,,"East Coast North America","North America","Atlantic",,,100,,,,,,,,,,,,,,,,,,,,7.55,"FCC",,,,,40,"N"
13127149,"International",,,,"Asia","Pacific",,,,,,,,,43,,35,,22,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13127273,"International",,,,,"Atlantic/Pacific",,,,,0,5,4,3,,3,35,21,28,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13127307,"International",,,,,"Atlantic/Pacific",5,7,5,,6,6,1,6,,6,31,10,17,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13127431,"International",,,,,"Pacific",,,,,,,8,,,8,34,20,30,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13127565,"International",,,,,"Pacific",4,7,,,,,10,,4,9,38,7,20,,,,,,,,,,24.2,"FCC",,"Three quarter aft",,,562,"N"
13127857,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,12.1,"FCC",,,,,126,"N"
13128517,"Regional",,,"Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,2.5,,,2.5,,16.4,"FCC",,,,,164,"N"
13131241,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontoon",11.2,"FCC",,"Aft",,,80,"N"
13131667,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.4,"FCC",,,,,157,"N"
13132619,"International",,,,,"Atlantic/Pacific",49,,10,3,6,5,0,14,,2,8,2,2,,,,,,,,,,21.8,"FCC",,,,,370,"N"
13132743,"International",,,,,"Atlantic/Pacific",61,,11,3,9,0,,16,,,,,,,,,,,,,,,21.8,"FCC",,,,,370,"N"
13132877,"International",,,,,"Atlantic/Pacific",60,,12,5,8,0,,15,,,,,,,,,,,,,,,21.8,"FCC",,,,,370,"N"
13132901,"International",,,,,"Atlantic/Pacific",58,,14,5,9,,,14,,,,,,,,,,,,,,,21.8,"FCC",,,,,370,"N"
13134321,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,15.9,"FCC",,,,,200,"N"
13134455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,"FCC",,,,,200,"N"
13135081,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,15.9,"FCC",,,,,200,"N"
13135115,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,15.9,"FCC",,,,,200,"N"
13136583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,"FCC",,,,,446,"N"
13136617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,"FCC",,,,,446,"N"
13137377,"International",,,,,"Atlantic",,,,,7,,,93,,,,,,,,,,,,,,,17.5,"FCC",,,,,350,"N"
13137401,"International",,,,,"Pacific",40,,,,,,,,,,40,,12,7,,,,,,,,,17.5,"FCC",,,,,350,"N"
13137535,"International",,,,,"Pacific",,,,,,,75,,,25,,,,,,,,,,,,,17.5,"FCC",,,,,350,"N"
13137669,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,17.5,"FCC",,,,,350,"N"
13138161,"International",,,,,"Pacific",,,,,,,,,,,,37,63,,,,,,,,,,13.6,"FCC",,,,,200,"N"
13138295,"Regional",,,"West Coast South America","South America","Pacific",,100,,,,,,,,,,,,,,,,,,,,,13.6,"FCC",,,,,200,"N"
13138329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,"FCC",,,6,,478,"N"
13138453,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,13.6,"FCC",,,6,,478,"N"
13138587,"International",,,,,"Pacific",22,,,,,,0,,,6,33,30,10,,,,,,,,,,21.7,"FCC",,,,,400,"N"
13138745,"International",,,,,"Atlantic/Pacific",,,44,,3,36,0,2,,1,10,2,1,,,,,,,,,,21.7,"FCC",,,,,400,"N"
13138879,"International",,,,"Asia","Pacific",,,,,,,,,39,,37,,23,,,,,,,,,,21.7,"FCC",,,,,400,"N"
13138903,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,16.8,"FCC",,"Aft",6,,350,"N"
13139089,"Regional",,,"Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,16.75,"FCC",,,,,350,"N"
13139797,"International",,,,,"Atlantic/Pacific",25,,27,,3,1,0,4,,4,16,5,13,2,,,,,,,,,24,"FCC",,,,,500,"N"
13139821,"International",,,,,"Atlantic/Pacific",12,,7,,,,,,,9,43,13,16,,,,,,,,,,24,"FCC",,,,,500,"N"
13139955,"International",,,,,"Atlantic",,,53,,13,6,,29,,,,,,,,,,,,,,,24,"FCC",,,,,500,"N"
13140135,"International",,,,,"Pacific",6,,,,,,,,34,,38,,22,0,,,,,,,,,24,"FCC",,,,,500,"N"
13140269,"International",,,,,"Atlantic",,,58,,1,41,,,,,,,,,,,,,,,,,24,"FCC",,,,,500,"N"
13141503,"International",,,,,"Pacific",,,,,,,2,,,27,28,16,27,,,,,,,,,,24.2,"FCC",,,,,450,"N"
13141637,"International",,,,,"Pacific",,,,,,,2,,,30,25,18,26,,,,,,,,,,24.2,"FCC",,,,,450,"N"
13141761,"International",,,,,"Pacific",,,,,,,1,,,25,38,14,22,,,,,,,,,,24.2,"FCC",,,,,450,"N"
13141895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,6,,450,"N"
13141929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,"FCC",,,6,,450,"N"
13142555,"International",,,,,"Pacific",,,,,,,1,,,99,,,,,,,,,,,,,16.4,"FCC",,,7,,320,"N"
13142689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,"FCC",,,7,,320,"N"
13142713,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,2.5,,,3.3,,11.1,"FCC",,,,,70,"N"
13143349,"International",,,,,"Atlantic/Pacific",5,11,26,0,12,1,,45,,,,,,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13143473,"International",,,,,"Atlantic/Pacific",7,12,28,,12,1,,41,,,,,,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13143507,"International",,,,,"Atlantic/Pacific",6,11,28,0,14,0,,41,,,,,,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13143631,"International",,,,,"Atlantic/Pacific",6,12,29,0,14,1,,38,,,,,,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13143765,"International",,,,,"Atlantic/Pacific",5,10,27,,13,2,,43,,,,,,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13143899,"International",,,,,"Atlantic/Pacific",5,10,26,,11,1,,47,,,,,1,,,,,,,,,,21.35,"FCC",,,,,1100,"N"
13144009,"International",,,,"Asia","Pacific",,,,,,,,,,,60,,40,,,,,,,,,,14.1,"FCC",,,,,150,"N"
13144133,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,14.1,"FCC",,,,,150,"N"
13144267,"Regional",,,"East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,14.1,"FCC",,,,,150,"N"
13144717,"National",,"Indonesia","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,7.8,"FCC",,,,,,"N"
13144975,"Regional",,,"Mediterranean / Black Sea","Europe","Atlantic",,,,,,,,100,,,,,,,,,,,,,,,10.7,"FCC",,,,,128,"N"
13147347,"International",,,,,"Pacific",44,,,,,,,,,,45,,,10,,,,,,,,"Pontoon",24.3,"FCC",,,7,,650,"N"
13147471,"International",,,,"Asia","Pacific",,,,,,,,,37,,39,,24,,,,,,,,,"Pontoon",24.3,"FCC",,,7,,650,"N"
13147505,"International",,,,,"Pacific",0,,,,,,,,,1,42,26,29,1,,,,,,,,,24.3,"FCC",,,,,628,"N"
13147639,"International",,,,,"Pacific",50,,,,,,,,,,39,,,11,,,,,,,,,24.3,"FCC",,,,,628,"N"
13147763,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontoon",24.3,"FCC",,,,,650,"N"
13147897,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pontoon",24.3,"FCC",,,,,650,"N"
13153601,"International",,,,"Asia","Pacific",,,,,,,,,,,99,,0,1,,,,,,,,,8.34,"FCC",,,,,40,"N"
13153735,"International",,,,,"Atlantic",,,,,20,35,,45,,,,,,,,,,,,,,,8.34,"FCC",,,,,40,"N"
13155289,"International",,,,"Asia","Pacific",,,,,,0,,,,,54,,46,,,,,,,,,,24.1,"FCC",,"Three quarter aft",6,16,500,"N"
13155313,"International",,,,,"Atlantic/Pacific",,,,,,1,,0,,0,47,,51,,,,,,,,,,24.1,"FCC",,"Three quarter aft",6,16,500,"N"
13155447,"International",,,,,"Atlantic",,,57,,2,41,,,,,,,,,,,,,,,,,24.1,"FCC",,"Three quarter aft",6,16,500,"N"
13155605,"International",,,,"Asia","Pacific",,,,,,,,,60,,,,40,,,,,,,,,,24.1,"FCC",,"Three quarter aft",6,16,500,"N"
13155863,"Regional",,,"United Kingdom/Continent","Europe","Atlantic",,,,,,100,,,,,,,,,,,,,,,,,8.3,"FCC",,,,,144,"N"
13158819,"International",,,,,"Atlantic",,,40,60,,,,,,,,,,,,,,,,,,,10.35,"FCC",,,6,,100,"N"
13158943,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.35,"FCC",,,6,,100,"N"
13159029,"Regional",,,"South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.35,"FCC",,,6,,100,"N"
13159579,"National",,"Philippines","South East Asia","Asia","Pacific",,,,,,,,,,,,,100,,,,,,,,,,10.4,"FCC",,,,,157,"N"
13159603,"National",,"China P.R.","East Asia","Asia","Pacific",,,,,,,,,,,100,,,,,,,,,,,,10.4,"FCC",,,,,72,"N"
13160883,"International",,,,,"Pacific",,,,,,,0,,,52,,10,39,,,,,,,,,,16.6,"FCC",,,,,350,"N"
13160917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,"FCC",,,,,350,"N"
13161677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,"FCC",,,,,350,"N"
13161701,"International",,,,,"Atlantic/Pacific",,,,,0,4,0,42,,49,3,5,1,,,,,,,,,,21.8,"FCC",,,,,350,"N"
13161835,"International",,,,,"Atlantic/Pacific",37,,12,,2,0,0,3,,3,34,3,3,3,,,,,,,,,21.8,"FCC",,,,,350,"N"
13162629,"International",,,,"Asia","Pacific",,,,,,,,,,,99,,1,,,,,,,,,,14.1,"FCC",,,,,150,"N"
13166469,"Port-based","Bandar Abbas","Iran","Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,19.2,"FCC",,,,,300,"N"
13166593,"Port-based","Bandar Abbas","Iran","Middle East","Middle East/ISC","Pacific",,,,,,,,,,100,,,,,,,,,,,,,19.2,"FCC",,,,,300,"N"
13167837,"International",,,,,"Atlantic",,,,,29,10,,61,,,,,,,,,,,,,,,8.8,"FCC",,,,,80,"N"
13169123,"International",,,,,"Pacific",,,,,,,89,,,1,,10,,,,,,,,,,,19,"FCC",,,,,152,"N"
