"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value","Flag and Footnotes"
"Nov. 2020","Denmark","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Self Propulsion","VALUE_IN_EUROS","6,472,359",""
"Nov. 2020","Denmark","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Self Propulsion","QUANTITY_IN_100KG","8,511",""
"Nov. 2020","Denmark","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Self Propulsion","QUANTITY_IN_TONS","851",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Unknown","VALUE_IN_EUROS","218,240,344",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Unknown","QUANTITY_IN_100KG","552,274",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Unknown","QUANTITY_IN_TONS","55,227",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Sea","VALUE_IN_EUROS","13,193,035,584",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Sea","QUANTITY_IN_100KG","102,179,309",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Sea","QUANTITY_IN_TONS","10,217,931",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Rail","VALUE_IN_EUROS","576,243,175",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Rail","QUANTITY_IN_100KG","1,871,272",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Rail","QUANTITY_IN_TONS","187,127",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Road","VALUE_IN_EUROS","8,048,558,097",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Road","QUANTITY_IN_100KG","14,101,521",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Road","QUANTITY_IN_TONS","1,410,152",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Air","VALUE_IN_EUROS","9,741,919,661",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Air","QUANTITY_IN_100KG","770,166",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Air","QUANTITY_IN_TONS","77,017",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Post","VALUE_IN_EUROS","93,544,518",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Post","QUANTITY_IN_100KG","25,975",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Post","QUANTITY_IN_TONS","2,597",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Fixed Mechanism","VALUE_IN_EUROS","1,671,290,693",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Fixed Mechanism","QUANTITY_IN_100KG","76,210,629",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Fixed Mechanism","QUANTITY_IN_TONS","7,621,063",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Inland Waterway","VALUE_IN_EUROS","18,711,160",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Inland Waterway","QUANTITY_IN_100KG","100,554",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Inland Waterway","QUANTITY_IN_TONS","10,055",""
