"variable","name","type","group","in_calc","source","calc_type","definition","description","unit","unit.abbr"
"Stock.Exchange.Ticker",,,"characteristic","no","WFR","raw",,,,
"Speed..knots.","Speed","numnonneg","characteristic","directly","WFR","raw",,"Representative speed from \ac{WFR} (service or average observed)","knots","kn"
"Speed.category","Speed category",,"characteristic","no","WFR","raw",,"Type of speed reported",,
"Great.Lakes.Fitted",,,"characteristic","no","WFR","raw",,,,
"Contract.Date.Ind",,,"characteristic","no","WFR","raw",,,,
"Self.Unloader..Ind.",,,"characteristic","no","WFR","raw",,,,
"Builder.Yard.Location",,,"characteristic","no","WFR","raw",,,,
"Air.Draft.From.Water.Line..m.",,,"characteristic","no","WFR","raw",,,,
"Demo.Location",,,"characteristic","no","WFR","raw",,,,
"Manager.Group",,,"characteristic","no","WFR","raw",,,,
"Grabs.Ind",,,"characteristic","no","WFR","raw",,,,
"Vessel.Name.Date",,,"characteristic","no","WFR","raw",,,,
"Ice.Class..Ind.",,,"characteristic","no","WFR","raw",,,,
"Ice.Notation",,,"characteristic","no","WFR","raw",,,,
"Self.Unloader.Type",,,"characteristic","no","WFR","raw",,,,
"Original.Builder",,,"characteristic","no","WFR","raw",,,,
"Original.Builder.Group",,,"characteristic","no","WFR","raw",,,,
"FEU.Max.In.Holds",,,"characteristic","no","WFR","raw",,,,
"FEU.Max.On.Deck",,,"characteristic","no","WFR","raw",,,,
"Deck.Strength..sq.m.t.",,,"characteristic","no","WFR","raw",,,,
"Deck.Cargo..Ind.",,,"characteristic","no","WFR","raw",,,,
"SOx.Scrubber.Indicator",,,"characteristic","no","WFR","raw",,,,
"BWMS.Status",,,"characteristic","no","WFR","raw",,,,
"Deck.Timber.Loading..Ind.",,,"characteristic","no","WFR","raw",,,,
"Pool.Operator.Country.Region",,,"characteristic","no","WFR","raw",,,,
"BWMS.1.Retrofit.Date",,,"characteristic","no","WFR","raw",,,,
"BWMS.Technology.Type",,,"characteristic","no","WFR","raw",,,,
"Grabs.No",,,"characteristic","no","WFR","raw",,,,
"Deck.Cargo.Height..m.",,,"characteristic","no","WFR","raw",,,,
"Auxiliary.Engine.Detail",,,"characteristic","no","WFR","raw",,,,
"BWMS.2.Retrofit.Date",,,"characteristic","no","WFR","raw",,,,
"Maximum.Speed..knots.",,,"characteristic","no","WFR","raw",,,,
"Self.Unloader.Cap..t.hr.",,,"characteristic","no","WFR","raw",,,,
"Total.Cargo.Decks.No",,,"characteristic","no","WFR","raw",,,,
"Hatch.Max.Length..m.",,,"characteristic","no","WFR","raw",,,,
"Hatch.Max.Width..m.",,,"characteristic","no","WFR","raw",,,,
"Heavy.Lift..Ind.",,,"characteristic","no","WFR","raw",,,,
"Hull.Type",,,"characteristic","no","WFR","raw",,,,
"Hatches.Total.No",,,"characteristic","no","WFR","raw",,,,
