,_key_left,_key_right
149,0,6066
150,0,6130
151,0,6129
152,0,6114
153,0,6118
154,0,6119
155,0,6120
156,0,6121
157,0,6122
158,0,6117
159,0,6123
160,0,6116
161,0,6124
162,0,6125
163,0,6126
164,0,6115
165,0,6127
166,0,6113
167,0,6128
168,0,6112
169,0,6070
170,0,6065
171,0,6097
172,0,6101
173,0,6096
174,0,6095
175,0,6094
176,0,6098
177,0,6099
178,0,6100
179,0,6093
180,0,6111
181,0,6071
182,0,6072
183,0,6102
184,0,6110
185,0,6073
186,0,6109
187,0,6092
188,0,6074
189,0,6103
190,0,6108
191,0,6075
192,0,6107
193,0,6076
194,0,6104
195,0,6077
196,0,6106
197,0,6091
198,0,6078
199,0,6105
200,0,6079
201,0,6080
202,0,6081
203,0,6090
204,0,6082
205,0,6083
206,0,6084
207,0,6089
208,0,6085
209,0,6086
210,0,6087
211,0,6088
212,0,8098
213,0,8821
214,0,8425
215,0,8820
216,0,8426
217,0,8427
218,0,8819
219,0,8428
220,0,8818
221,0,8817
222,0,8816
223,0,8815
224,0,8814
225,0,8813
226,0,8812
227,0,8811
228,0,8810
229,0,8809
230,0,8808
231,0,8807
232,0,8806
233,0,8805
234,0,8804
235,0,8803
236,0,8802
237,0,8801
238,0,8800
239,0,8799
240,0,8798
241,0,8797
242,0,8796
243,0,8429
244,0,8795
245,0,8794
246,0,8793
247,0,8792
248,0,8791
249,0,8790
250,0,8789
251,0,8788
252,0,8787
253,0,8786
254,0,8785
255,0,8784
256,0,8783
257,0,8782
258,0,8781
259,0,8780
260,0,8779
261,0,8778
262,0,8777
263,0,8776
264,0,8775
265,0,8774
266,0,8773
267,0,8772
268,0,8771
269,0,8770
270,0,8769
271,0,8768
272,0,8767
273,0,8766
274,0,8765
275,0,8764
276,0,8763
277,0,8762
278,0,8761
279,0,8760
280,0,8759
281,0,8758
282,0,8757
283,0,8756
284,0,8755
285,0,8754
286,0,8753
287,0,8752
288,0,8751
289,0,8750
290,0,8430
291,0,8749
292,0,8748
