mmsi,year,distance
209034000,2020,66048.39883998781
209034000,2021,63673.69983229041
209058000,2019,66535.0492381975
209058000,2020,75060.10369965434
209058000,2021,58370.37783317268
209062000,2019,77126.15714294836
209062000,2020,82885.94972592592
209062000,2021,71504.3217613846
209064000,2019,65485.230254888535
209064000,2020,70211.51940150559
209064000,2021,75914.04607483745
209069000,2019,55341.36712358147
209069000,2020,62546.004870444536
209069000,2021,58685.41083008051
209076000,2019,51292.17086803913
209076000,2020,48697.90163389593
209076000,2021,33854.46821656823
209092000,2019,41124.139517359436
209092000,2020,61995.08769029379
209092000,2021,46615.307952560484
209095000,2019,54417.76661602035
209095000,2020,63663.66626231372
209095000,2021,73114.59462883323
209109000,2019,37746.613513857126
209109000,2020,47464.07287834957
209109000,2021,30744.028476580977
209112000,2019,67227.45941822976
209112000,2020,71306.53064246476
209112000,2021,67807.34490293264
209116000,2019,75049.73994778842
209116000,2020,65608.75181913376
209116000,2021,59730.064355663955
209136000,2019,34732.537396505475
209136000,2020,35620.52593241632
209136000,2021,66765.10020765662
209156000,2019,34714.96851862967
209156000,2020,40907.11233371496
209156000,2021,42212.61989374459
209162000,2019,64104.761858694255
209162000,2020,62773.12038567662
209162000,2021,72131.32363000512
209171000,2019,57709.44255501032
209171000,2020,74571.94047638774
209171000,2021,67984.26120901667
209172000,2019,63686.16884241998
209172000,2020,65865.81306260824
209172000,2021,64358.714280352
209182000,2019,59500.43837590888
209182000,2020,47020.97568758018
209182000,2021,50630.00871437788
209184000,2019,37706.814447663724
209184000,2020,40837.11210331321
209184000,2021,50368.37647673488
209191000,2019,53087.26916882396
209191000,2020,61694.948468998075
209191000,2021,62836.36273896694
209199000,2019,40360.27485948056
209199000,2020,30840.893129102886
209199000,2021,55756.60276827216
209203000,2019,41490.03245705366
209203000,2020,29659.60342758149
209203000,2021,59964.2966690734
209218000,2019,38031.854618139565
209218000,2020,45286.50738293864
209218000,2021,43819.11588851735
209243000,2019,61171.72982316464
209243000,2020,60536.61298149824
209243000,2021,43849.770025610924
209256000,2019,57202.921842336655
209256000,2020,55972.08565143868
209256000,2021,51227.75953273475
209270000,2019,75714.25309924409
209270000,2020,77286.95914078504
209270000,2021,70833.64908319712
209277000,2019,73962.56994896382
209277000,2020,66526.54784922302
209277000,2021,63622.595844160765
209279000,2019,53495.7379129827
209279000,2020,42764.28422807157
209279000,2021,54312.12380570173
209282000,2019,51978.7645258978
209282000,2020,42875.17411707342
209282000,2021,63936.09303802252
209287000,2019,69176.74097278714
209287000,2020,65210.30303359032
209287000,2021,39446.49297598004
209289000,2019,22083.72273954004
209289000,2020,206.98243856430054
209289000,2021,60.36455535888672
209316000,2019,38886.00421770662
209316000,2020,37667.44673054665
209316000,2021,44808.982693336904
209317000,2019,58647.459018692374
209317000,2020,70735.40659849346
209317000,2021,63462.77972960472
209363000,2019,72219.91569495946
209363000,2020,69012.45602928102
209363000,2021,67052.16896586865
209384000,2019,68549.85782990605
209384000,2020,52012.15786655992
